hebrew,count
שֶׁיֵּשׁ,197
האתר,197
לָנוּ,196
בֵּית,196
לנו,196
התבנית,196
רוב,195
העברית,194
אוֹתִי,193
בוויקיפדיה,193
ספר,193
תמונה,193
הרי,193
שָׁם,192
לְכָל,192
בעיר,192
קיים,192
נֶגֶד,190
הַמִּשְׁפָּט,190
שלום,190
הַיּוֹם,189
מִן,189
בה,189
הכי,189
חייב,189
בְּנֵי,188
הֵן,188
אוֹתָם,188
לב,188
גדול,188
שנים,188
בשם,187
בֶּן,186
בָּהּ,186
זְמַן,186
אֲשֶׁר,185
אנחנו,185
פירושונים,185
וְגַם,184
מקור,184
וַאֲנִי,183
אוּלַי,183
השני,183
אנא,183
לראות,183
אָדָם,182
צָרִיךְ,182
מדי,182
יִהְיֶה,181
רבות,181
כפי,181
חֵלֶק,180
וְאָז,180
בִּשְׁנַת,180
קישור,180
דֶּרֶךְ,178
באנגלית,178
כאלה,178
המידע,178
אָמַר,177
חברי,177
מִסְפַּר,176
נגד,175
הרב,175
במהלך,174
המשפחה,174
אופן,174
אדם,174
וְהוּא,173
ולכן,173
ראוי,173
די,173
בְּלִי,172
אֵלֶּה,172
"""אֲנִי",172
צריכה,171
מן,171
בארץ,171
בעיה,171
הייתי,171
אביב,170
קשה,169
נְיוּטוֹן,168
נמצא,167
הדיון,167
וחצי,167
ראיתי,166
תודה,166
לתת,166
מזה,166
לפחות,165
באותה,165
מאז,163
שָׁנִים,162
עֲדַיִין,162
שֶׁהֵם,162
יום,162
לַעֲשׂוֹת,161
בעברית,161
חייבים,161
לשם,161
סיבה,161
מלחמת,160
זכויות,160
לקבל,159
לִרְאוֹת,158
נולד,158
הָעוֹלָם,157
הַסֵּפֶר,157
בסוף,157
שֶׁלָּהּ,156
כִּמְעַט,156
שְׁנֵי,156
צבא,156
זכה,156
פי,156
סתם,156
הָיִיתִי,154
בְּמַהֲלַךְ,154
בבית,154
המשפט,154
מבין,154
תָּמִיד,153
השנייה,153
הצבעה,153
לזה,153
קודם,153
בְּאֶמְצָעוּת,152
משתמש,152
כללי,151
בעולם,150
להם,150
לְפִי,149
פרטים,149
בני,149
לשנות,149
הַאִם,148
אֲפִילּוּ,148
לאחרונה,148
הכנסת,148
ראש,148
אֵינוֹ,147
דווקא,147
שמות,147
הזאת,147
התמונות,146
יְלָדִים,145
כנראה,145
חומר,144
לַמְרוֹת,143
תחילת,143
חוץ,142
עניין,142
האנגלית,141
שהערך,141
כָּאן,140
המדינה,140
שונים,140
השאלה,140
בבקשה,140
קצרמר,140
בעל,140
שמו,140
הכל,140
למעשה,139
דומה,139
שינוי,139
וְאֶת,138
בגלל,138
מחיקה,138
חדשות,138
יוצרים,138
תשובה,138
דוד,137
משפחה,137
ויש,137
כמעט,137
בכך,137
משנה,137
עֲבוּר,136
שֶׁהָיָה,136
שֶׁבּוֹ,136
הָרִאשׁוֹן,136
חייו,136
בעיקר,136
הנוכחי,136
שלושה,136
לקרוא,136
קְצָת,135
טוֹב,135
כאשר,135
חושבים,135
חשבתי,135
אתם,135
מוּל,134
כְּפִי,134
אֵלּוּ,134
האלה,134
הזמן,134
אחרות,134
אומר,134
מַשֶּׁהוּ,133
רֹאשׁ,133
הַבְּרִית,133
הָיְתָה,133
מקורות,133
במיוחד,133
למרות,132
חוק,132
נוספת,131
מומחה,131
טובה,131
שֶׁלָּנוּ,130
מְעַט,130
בדרך,130
מתוך,130
וזה,130
בטוח,130
הָרַב,129
הַמְּדִינָה,129
"זֹאת,",129
בָּהֶם,129
בשביל,129
תחת,129
שלוש,129
עריכה,129
שאפשר,129
מקווה,129
חצי,129
שֶׁלָּהֶם,128
בעקבות,128
בסיס,128
הדבר,128
תחום,128
למשמעות,128
לוקה,128
נִרְאֶה,127
פָּחוֹת,127
בהם,127
חבר,127
שהם,127
לפתוח,127
הבעיה,127
המשתמש,127
רחוב,127
בצורה,126
מוזמן,126
בהחלט,126
ליצור,126
אַתָּה,125
בתוך,125
מורחב,125
מחדש,125
הנושא,125
הרשמי,124
עבודה,124
בעניין,124
קשר,124
נושא,124
וְעַל,122
בְּתוֹךְ,122
צבאי,122
מקובל,122
ככה,122
אַבָּא,121
2,121
מומלץ,121
מכל,121
בחסר,121
לחלוטין,120
הקהילה,120
מהם,120
לציין,120
ועוד,120
בעד,120
ואם,120
הקישור,120
חד,120
למד,119
לדעת,119
חוסר,119
ואין,119
העיצוב,119
בעבר,119
אינני,119
שכתוב,119
אצל,119
חודש,119
גָּדוֹל,118
רבה,118
שונות,118
משפחתו,118
שָׁנָה,117
לְקַבֵּל,117
תל,117
אנציקלופדיה,117
מצד,117
ויקיפדים,117
כולם,117
ידוע,117
מעט,117
רווח,117
יוֹתֵר.,116
אוּלָם,116
להרחיב,116
צעד,116
לה,116
ואז,116
הַזְּמַן,115
בְּבֵית,115
מערכת,115
הבחירות,115
בראש,115
הדברים,115
אַחַר,114
יְכוֹלָה,114
עבור,114
אינם,114
לתקן,114
שהיה,114
מֵהֶם,113
בְּמֶשֶׁךְ,113
צריכים,113
הצעת,113
להכניס,113
שיהיה,113
איפה,113
חַיִּים,112
מַעֲרֶכֶת,112
בתחום,112
לערוך,112
הבנתי,112
מופיע,112
חיצוני,112
וכו',112
פתח,112
בִּגְלַל,111
שׁוּב,111
משתמשים,111
קצר,111
חיל,111
כולל,111
לעתים,111
לְהַגִּיעַ,110
הצבאי,110
בערכים,110
פעמים,110
מאד,110
מְנַת,109
ארצות,109
שכתבת,109
ההצבעה,109
חוקי,109
אותי,109
פָּשׁוּט,108
שֶׁזֶּה,108
הַכֹּל,108
נוספות,108
עיצוב,108
עַצְמוֹ,107
לערכים,107
בתבנית,107
בינתיים,107
כזו,107
בֶּאֱמֶת,106
שֶׁאֵין,106
הסרט,106
להשאיר,106
לבין,106
והוא,106
מייל,106
אַרְצוֹת,105
מהערך,105
לדעתך,105
אָמְרָה,104
בְּקֶרֶב,104
מְדוּבָּר,104
בהמשך,104
כתב,104
שהיא,104
גדולה,104
"הנ""ל",104
אוֹמֵר,103
רוֹצֶה,103
לִמְצוֹא,103
להעלות,103
כיצד,103
אולם,103
בְּעִיקָּר,102
שׁוּם,102
מִכָּל,102
חָשׁוּב,102
יוֹדֵעַ,102
ירושלים,102
יכולה,102
דוגמאות,102
אביו,102
שכל,102
מסכים,102
נעשה,102
יַחַד,101
יהודים,101
במשך,101
תּוֹךְ,100
מָקוֹם,100
רַבּוֹת,100
הסבר,100
לאחרים,100
תהיה,100
חסרים,100
יורק,100
גילגמש,100
מושג,100
לשים,100
סוף,100
דְּבָרִים,99
אֲחֵרִים,99
במשחק,99
מרכז,99
העבודה,99
עושה,99
אֵינָהּ,98
לאור,98
בזמן,98
הטקסט,98
מתאים,98
מבקש,98
כְּכָל,97
קָשֶׁה,97
בַּעֲלֵי,97
הַמֶּמְשָׁלָה,97
הָעִיר,97
המלחמה,97
להעביר,97
חשובה,97
משפט,97
חינוך,97
חובה,97
כותב,97
הַחַיִּים,96
בִּלְתִּי,96
הֲכִי,96
בירושלים,96
באוניברסיטת,96
המצב,96
עיר,96
בתמונה,96
נקרא,96
דעתך,96
אִמָּא,95
מֵאָז,95
מֵעַל,95
מאוחר,95
כלומר,95
תמחק,95
ו,95
יוֹנָה,95
עָלָיו,94
וְהִיא,94
מִשְׂרַד,94
הַבְּרִיאוּת,94
יָמִים,94
באמצעות,94
יהודי,94
קיימת,94
שאי,94
איש,94
הוספת,94
איזו,94
הערות,93
שונה,93
חדשה,93
הראשי,93
המקום,93
טעם,93
הללו,93
בעלי,93
שדה,93
קִינְג,93
בַּת,92
בְּדִיּוּק,92
בְּיִשְׂרָאֵל,92
הוספתי,92
בתקופה,92
שגיאות,92
להביא,92
הארץ,92
החל,92
מניח,92
מותר,92
ימים,92
ל,92
בְּצוּרָה,91
נִמְצָא,91
לְכָךְ,91
לְךָ,91
צבאית,91
ברוב,91
בנו,91
בשל,91
בקרב,91
שמאל,91
בעיני,91
אנו,91
כתבתי,91
הבית,91
עבר,91
בִּזְמַן,90
הָרִאשׁוֹנָה,90
בבחירות,90
הגדול,90
אנסה,90
כעת,90
יְכוֹלִים,89
יצא,89
מדיניות,89
במלחמת,89
היסטוריה,89
מהירה,89
ארץ,89
באותו,89
מעניין,89
בדיקות,89
מַמָּשׁ,88
וְלָכֵן,88
אֵינָם,88
אַנְשֵׁי,88
מִתּוֹךְ,88
לוויקיפדיה,88
נמצאת,88
בשימוש,88
"צה""ל",88
לעזור,88
תוך,88
"יוֹתֵר,",87
שְׁתֵּי,87
כְּאִילּוּ,87
הַמִּסְפָּרִים,87
אליו,87
בזה,87
ימחק,87
ומה,87
צְרִיכָה,86
בָּעוֹלָם,86
אִי,86
אִישׁ,86
הַמִּלְחָמָה,86
חי,86
ויקיפד,86
נרחב,86
בלתי,86
שלה,86
מעולם,86
ערכי,86
נבחרת,86
יחד,86
לגמרי,86
צודק,86
בְּדֶרֶךְ,85
מַסְפִּיק,85
אַחֵר,85
בְּשֵׁם,85
פורטל,85
במספר,85
יצחק,85
משום,85
בדיקה,85
לבדוק,85
לְבֵית,84
לְבֵין,84
בְּאוֹתָהּ,84
גְּדוֹלָה,84
רשימת,84
תוכן,84
יהיו,84
העניין,84
מעבר,84
השימוש,84
משפחת,84
חסרי,84
מכיר,84
האלבום,83
היתה,83
להציג,83
החברה,83
בעת,83
ארבעה,83
קיימים,83
עליהם,83
השנים,83
מאשר,83
עובד,83
נא,83
הָאָטוֹם,83
לְיַד,82
בְּעוֹד,82
לָכֶם,82
רַב,82
סֵפֶר,82
בְּעִקְבוֹת,82
לְאוֹרֶךְ,82
לדף,82
אותך,82
יפה,82
תַּחַת,81
הַחֶבְרָה,81
שכתבתי,81
ככל,81
אפשרות,81
תשומת,81
מצאתי,81
וכן,81
במצב,81
קל,81
שגם,81
נהוג,81
שנית,81
הַבַּיִת,80
הַיְּלָדִים,80
"ע""י",80
וְזֶה,80
לשלוח,80
דוגמה,80
הגיע,80
אותן,80
אשר,80
הקטגוריה,80
האדם,80
שכן,80
"זֶה,",79
לָתֵת,79
בִּמְיוּחָד,79
הִגִּיעַ,79
לְהַמְשִׁיךְ,79
הדרך,79
ההיסטוריה,79
שלהם,79
חמישה,79
יכולים,79
קטן,79
מתי,79
ילדים,79
בעוד,79
וְכָל,78
שֶׁאֲנַחְנוּ,78
יָצָא,78
הַדִּין,78
באזור,78
לאחד,78
במסגרת,78
איננה,78
הגיעו,78
ג'ורג',78
ועל,78
ממנו,78
מפקד,78
המילה,78
שאלה,78
סוג,78
כְּלָל,77
לָמָּה,77
הַפּוֹרְנוֹגְרַפְיָה,77
הַבַּקָּשָׁה,77
חופשיות,77
ביוגרפיה,77
חיפה,77
החוק,77
עומד,77
גבול,77
ה,77
שֶׁבָּהּ,76
הֲרֵי,76
בָּתֵּי,76
אֶלֶף,76
לשמוע,76
אנציקלופדי,76
רוצים,76
הישראלי,76
שינויים,76
לדיון,76
מקצוע,76
להגיע,76
האי,76
רצוי,76
מיותר,76
"שֶׁלִּי,",75
רוֹב,75
אוֹתָן,75
צרפת,75
בהתאם,75
לחפש,75
שלנו,75
בתור,75
האחרון,75
תבניות,75
הלהקה,75
הקבוצה,75
איני,75
האופציה,75
בקיצור,75
לשימוש,75
עושים,75
אַתֶּם,74
וְאַף,74
עֲבוֹדָה,74
מִפְּנֵי,74
בְּמִסְגֶּרֶת,74
לְהָבִיא,74
מול,74
מצב,74
תקופה,74
להבין,74
לרוב,74
חיפוש,74
יהודה,74
דעת,74
מסחרי,74
שבוע,74
שֶׁגַּם,73
הַדְּבָרִים,73
בָּרוּר,73
וְעַד,73
בְּאוֹתוֹ,73
שֶׁלִּי.,73
נוֹסָף,73
הַשָּׁנִים,73
הַמֵּאָה,73
שנות,73
דמויות,73
ספרים,73
בתקופת,73
קיבל,73
ביום,73
אנשי,73
ניו,73
להוריד,73
בוט,73
תגובה,73
הַזּוֹ,72
אֵצֶל,72
הַדָּבָר,72
3,72
בְּשֶׁל,72
מִילְיוֹן,72
שׁוֹנִים,72
תִּהְיֶה,72
כּוֹחַ,72
בִּפְנֵי,72
נָשִׁים,72
לְהַגִּישׁ,72
כותבים,72
פרשת,72
המלך,72
החדש,72
הים,72
סימוכין,72
זֶה.,71
שֶׁכָּל,71
לֵב,71
מִצַּד,71
קָטָן,71
לְהָבִין,71
לָדַעַת,71
שֶׁלּוֹ.,71
שֶׁהָיוּ,71
וְכֵן,71
דַּוְוקָא,71
ש,71
מדינות,71
בשלב,71
במרכז,71
הקישורים,71
ייתכן,71
לעומת,71
פגיעה,71
אמחק,71
רלוונטי,71
אמור,71
פרס,71
הפסקה,71
סביר,71
שבועיים,71
שִׁינּוּי,70
לְפָחוֹת,70
אַתְּ,70
שִׁימּוּשׁ,70
יַפָּן,70
מֵידָע,70
כלשהו,70
נמחקה,70
לבצע,70
ידע,70
שזו,70
משמעות,70
לשאול,70
הפניה,70
לפעמים,70
עליה,70
אוכל,70
לעבוד,70
כה,70
כַּיּוֹם,69
"ד""ר",69
"כָּךְ,",69
סרטים,69
משחקי,69
במקרים,69
במחלוקת,69
נחשב,69
לדבר,69
זכתה,69
מפעיל,69
הממשלה,69
זכות,69
מעדיף,69
בספר,69
ויקי,69
דורש,69
שנמחק,69
כֵּן,68
הָאַחֲרוֹן,68
בְּיוֹם,68
בְּכָךְ,68
"יִשְׂרָאֵל,",68
הָאָדָם,68
הֵחֵל,68
"""זֶה",68
יוצא,68
יחסית,68
בברכה,68
ראשון,68
למשפחה,68
קטגוריה,68
פעולה,68
חמש,68
הצלחתי,68
ברורה,68
שבו,68
כחול,68
ספק,68
זוהי,68
להסיר,68
עלי,68
הַזֹּאת,67
עַכְשָׁיו,67
וְרַק,67
5,67
"שֶׁלּוֹ,",67
הַגָּדוֹל,67
הַצָּבָא,67
חלקי,67
חברה,67
מכיוון,67
חודשים,67
העריכה,67
מכך,67
עצמה,67
דעתי,67
חזרה,67
הכוונה,67
כּוֹלֵל,66
וְעוֹד,66
צְרִיכִים,66
לְגַבֵּי,66
הָאֵלֶּה,66
טוֹפֶס,66
הַיְּקוּם,66
עשה,66
בארצות,66
חוזר,66
חשובות,66
מאות,66
במזנון,66
פתיחת,66
בידי,66
להסביר,66
אדום,66
מ,66
היחיד,66
הרשימה,66
תשובות,66
באיזה,66
א,66
כַּנִּרְאֶה,65
חוֹדָשִׁים,65
מֵעֵבֶר,65
וְהֵם,65
בַּעַל,65
הַצִּיבּוּר,65
הַיֶּלֶד,65
שְׁלוֹשָׁה,65
שניתן,65
אנציקלופדית,65
לעניין,65
שימש,65
חברת,65
חברים,65
היהודים,65
אופציה,65
תרגום,65
השיר,65
מִתַּחַת,64
בִּשְׁבִיל,64
מִדַּי,64
יוֹדְעִים,64
לָצֵאת,64
1,64
קורות,64
דין,64
הצבעת,64
מחוז,64
התנגדות,64
ישנם,64
גוגל,64
ביקורת,64
נכתב,64
מדינה,64
השנה,64
תיאור,64
טועה,64
כאמור,64
לעבור,64
בשמחה,64
כוח,64
רוֹצִים,63
בִּמְקוֹם,63
בִּי,63
וְכָךְ,63
הָעֲבוֹדָה,63
"כֵּן,",63
בְּרִיאוּת,63
כּוּלָּם,63
אָנוּ,63
"הַזֶּה,",63
בדיון,63
לצערי,63
ג,63
תפקיד,63
בתי,63
הינו,63
עשרות,63
שים,63
יוכל,63
המקור,63
פשוטה,63
שהוספת,63
טעות,63
הַדֶּרֶךְ,62
פְּנֵי,62
וְאִם,62
מִמֶּנּוּ,62
חוֹק,62
הָאָרֶץ,62
משרד,62
האחרונה,62
באירופה,62
בפני,62
לשחזר,62
בשנים,62
המונח,62
כאלו,62
לקצץ,62
אלמוג,62
בר,62
חכם,62
פשרה,62
חגי,62
מחקת,62
בטח,62
אוֹתָנוּ,61
לִפְעָמִים,61
",",61
שְׁנוֹת,61
מִכֵּן,61
הַסִּיפּוּר,61
שמדובר,61
מסוימת,61
מדינת,61
גרוע,61
בקטגוריה,61
לויקיפדיה,61
להגיד,61
פרטי,61
לומר,61
פרויקט,61
הסדרה,61
איננו,61
מפת,61
מבנה,61
דחוף,61
מקצועי,61
דַּקּוֹת,60
אוֹתוֹ.,60
הַחוֹלִים,60
לְעוּמַּת,60
יָד,60
פעיל,60
בקשר,60
סיום,60
הכדורגל,60
חלקם,60
ראשית,60
ממליץ,60
עברה,60
כולו,60
לעברית,60
הפך,60
בפרס,60
מיקום,60
עזרה,60
לפנות,60
הקשר,60
בעצם,60
נוכל,60
סליחה,60
מְאֹד,59
מִסְפָּר,59
לְדַבֵּר,59
לוֹמַר,59
הַשָּׁנָה,59
לַחַץ,59
הַקְּבוּצָה,59
ללמוד,59
גרמניה,59
מסוים,59
הספרים,59
מחוץ,59
פרט,59
ספציפי,59
להמשיך,59
בתחילת,59
הארגון,59
עובדה,59
יעקב,59
צבעים,59
יצאו,59
קרב,59
ספורט,59
מלבד,59
השאר,59
מותו,59
שכבר,59
פסול,59
מַגִּיעַ,58
קֶשֶׁר,58
כָּתַב,58
הַפַּעַם,58
הֲטָלַת,58
וושינגטון,58
הבריטי,58
חלקים,58
סדר,58
ספרד,58
לאתר,58
האחרונות,58
עקב,58
באינטרנט,58
השלישי,58
נמחקו,58
נשיא,58
מנת,58
כפר,58
חופש,58
אסור,58
התוכן,58
להופיע,58
מיד,58
הוגן,58
יוסף,58
תרצה,58
הודעה,58
כזאת,58
דמות,58
אינך,58
פְּצָצַת,58
הַזֶּה.,57
מְנַסֶּה,57
אֵלָיו,57
שָׁעוֹת,57
שָׁלוֹם,57
נָכוֹן,57
חַבְרֵי,57
מֵעוֹלָם,57
הַלְּאוּמִּי,57
בְּסוֹף,57
למשחק,57
לצורך,57
עשר,57
רעיון,57
החדשה,57
ארגון,57
מהווה,57
תנועת,57
הבדל,57
ארוך,57
ואת,57
להחלטה,57
מכיל,57
דעות,57
בגוגל,57
אפשרי,57
כלום,57
מראש,57
פתרון,57
סִיפּוּר,56
שֵׁירוּת,56
בַּמָּקוֹם,56
אָמְנָם,56
שֶׁכֵּן,56
סוֹף,56
שְׁנַת,56
בְּמִקְרֶה,56
הַמִּשְׂחָק,56
כְּגוֹן,56
הישראלית,56
מנסה,56
העולמית,56
גבוהה,56
"חב""ד",56
הפחות,56
השחקן,56
חוקים,56
העברי,56
לקבוע,56
נמצאות,56
שאר,56
לדוגמה,56
להשיג,56
מתכוון,56
חג,56
שאינו,56
לכם,56
חל,56
נבחר,56
לטעמי,56
כתיבה,56
גמור,56
חסרות,56
עַנְתֶּבִּי,56
וּמָה,55
בַּבַּיִת,55
סְבִיב,55
מִשּׁוּם,55
הַנָּשִׂיא,55
"אֶחָד,",55
העצמאות,55
ואולי,55
אירופה,55
חודשיים,55
לצד,55
ימי,55
לאחת,55
חסימה,55
כלי,55
בניית,55
אורי,55
ג'יימס,55
צבע,55
מוסיף,55
תרגיש,55
אַבְשָׁלוֹם,55
יוֹדַעַת,54
וְיֵשׁ,54
חַיָּיב,54
שׁוֹנוֹת,54
הָפַךְ,54
בִּתְחִילַּת,54
מִשְׁפָּט,54
בְּרַחֲבֵי,54
נוֹסֶפֶת,54
צוֹרֶךְ,54
זְכוּיוֹת,54
מְצָדָה,54
המפלגה,54
ואף,54
שי,54
ראשי,54
בעתיד,54
בתל,54
הבחירה,54
ימין,54
בהיסטוריה,54
השבוע,54
משה,54
עמוד,54
ניסוח,54
הצבעים,54
עברית,54
מצחיק,54
לדון,54
טקסט,54
ישנה,54
מדבר,54
שמתי,54
מסוג,54
עץ,54
אֵיזֶה,53
שָׁלוֹשׁ,53
מְאוּחָר,53
פְּעוּלָּה,53
רוֹצָה,53
זֶהוּ,53
אַלְפֵי,53
כֹּה,53
לְצַד,53
וּבְכָל,53
בפרלמנט,53
אנגלית,53
הלב,53
דיונים,53
מאמרים,53
מעל,53
היכן,53
ג'ון,53
האנגלי,53
מלחמה,53
ואתה,53
טכנית,53
שמה,53
מוצא,53
עליך,53
שכונה,53
שורה,53
לכאן,53
אבי,53
בִּכְלָל,52
מִישֶׁהוּ,52
לְשַׁלֵּם,52
שֶׁאֶפְשָׁר,52
הָאֲנָשִׁים,52
הַגְּדוֹלָה,52
מִיָּד,52
יְהוּדִים,52
כְּתוֹצָאָה,52
באנציקלופדיה,52
כנגד,52
במידה,52
קטגוריות,52
הנבחרת,52
ולמחוק,52
ממנה,52
הכתיבה,52
בדרום,52
להציץ,52
יהודית,52
שהיו,52
יכולת,52
ההפניה,52
שווה,52
אילו,52
גורם,52
טובים,52
שמחה,52
דברי,52
מָלֵא,51
"לְמָשָׁל,",51
לִשְׁמוֹר,51
קַבָּלַת,51
חוֹזֵר,51
עוֹשֶׂה,51
שֶׁבָּהֶם,51
אוֹמֶרֶת,51
בְּנִיגּוּד,51
אִישּׁוּר,51
מְדִינַת,51
בַּשָּׁנִים,51
לְמָשָׁל,51
הַיְּהוּדִים,51
בְּעֵת,51
הַוַּועֲדָה,51
בְּהֶתְאֵם,51
כְּלַפֵּי,51
הצבא,51
במקומות,51
לעיר,51
מצפון,51
פעילות,51
משם,51
מידי,51
החיים,51
בעיות,51
לישראל,51
האוויר,51
המאמר,51
קטנה,51
הסיבה,51
מסחרית,51
דפים,51
אבקש,51
ארבע,51
פנה,51
במה,51
פוליטית,51
הוצאה,51
ממך,51
הניסוח,51
במחיקה,51
כיוון,51
המומחה,51
דבריך,51
מָצָא,50
וְאֵין,50
מַיִם,50
רַבָּה,50
תְּקוּפָה,50
מֵאֲחוֹרֵי,50
בָּרֶגַע,50
לְמַעְלָה,50
בָּעִיר,50
שֶׁלָּהּ.,50
בִּלְבַד,50
בִּידֵי,50
לַחֲזוֹר,50
תרבות,50
לאורך,50
שאינם,50
פנים,50
האחרים,50
דרכים,50
המחיקה,50
מלך,50
היישוב,50
לקשר,50
וכך,50
קצרמרים,50
להתחיל,50
הפרק,50
שוליים,50
מעוניין,50
בשני,50
ניסיתי,50
שכדאי,50
להחזיר,50
ערוך,50
רע,50
אשתדל,50
כ,50
בואו,50
כִּיפָא,50
לָלֶכֶת,49
מֵחָדָשׁ,49
הָיִינוּ,49
אַחֶרֶת,49
לְעוֹלָם,49
טִיפּוּל,49
עֵקֶב,49
קָצָר,49
לִמְנוֹעַ,49
בִּמְהִירוּת,49
הַשִּׁימּוּשׁ,49
הִגִּיעָה,49
"""לֹא",49
הֵחֵלּוּ,49
יִהְיוּ,49
יֶלֶד,49
פְּצָצוֹת,49
שירותו,49
אודות,49
היחידה,49
נחשבת,49
תואר,49
מחלוקת,49
שנתיים,49
והיא,49
החלה,49
ברחבי,49
האיחוד,49
מילים,49
גבולות,49
אלפי,49
לעיל,49
צורת,49
ליד,49
מובן,49
לנסות,49
נשמע,49
נראית,49
המתקפה,49
מכאן,49
קורס,49
בסרט,49
נשים,49
אישית,49
חן,49
יורחב,49
אור,49
מוכן,49
דעה,49
הַמֶּלֶךְ,48
הָעוּבְדָּה,48
דִּין,48
הַכְּנֶסֶת,48
בְּאַרְצוֹת,48
"""אֲנַחְנוּ",48
מֵאֲשֶׁר,48
רֶגַע,48
עובר,48
חיילים,48
חזר,48
כתיב,48
לראשונה,48
היוצרים,48
כלשהי,48
מקובלת,48
המבנה,48
