hebrew,count,english_translation,transliteration
חדש,397,new,ḥdš
בנושא,396,On the subject,vnwšʾ
יודע,395,knowing,ywdʿ
אותי,393,me,ʾwty
אי,392,non,ʾy
להם,390,them,lhm
עליו,389,On him,ʿlyw
תמיד,388,always,tmyd
בבית,383,At home,vvyt
כ,380,about,k
שום,376,garlic,šwm
מדובר,376,spoken,mdwvr
המשפט,373,Trial,hmšpṭ
בישראל,372,In Israel,vyšrʾl
דברים,371,stuff,dvrym
ההצעה,370,The proposal,hhṣʿh
פי,369,times,py
שלה,367,its,šlh
נגד,367,against,ngd
מן,366,from,mn
לראות,359,see,lrʾwt
אפילו,359,even,ʾpylw
בני,358,Sons,vny
כאשר,357,when,kʾšr
מדי,355,every,mdy
איזה,353,what,ʾyzh
ר,353,R,r
עצמו,351,himself,ʿṣmw
גדול,350,large,gdwl
באמת,348,really,vʾmt
שתי,347,warp,šty
מבחינה,346,A way out,mvḥynh
חדשים,345,New,ḥdšym
בדיוק,343,exactly,vdywq
נכון,342,right,nkwn
שאין,341,That is not,šʾyn
ממש,339,really,mmš
כלל,337,rule,kll
הייתי,337,I was,hyyty
במהלך,336,during,vmhlk
דף,335,page,dp
רב,331,multi,rv
שהיא,330,Which is,šhyʾ
הזו,330,This,hzw
קשה,329,difficult,qšh
בלבד,329,only,vlvd
השיחה,329,The conversation,hšyḥh
הרב,328,The rabbi,hrv
שאתה,327,You,šʾth
י,326,Y,y
צ,324,T.,ṣ
למשל,324,for example,lmšl
הראשונה,324,First,hrʾšwnh
אינה,323,Not,ʾynh
כמובן,322,of course,kmwvn
מספיק,320,enough,mspyq
כפי,319,as,kpy
בעולם,318,In the world,vʿwlm
כיום,318,currently,kywm
תבנית,318,pattern,tvnyt
בכלל,316,at all,vkll
ואז,316,Then,wʾz
מכן,316,Then,mkn
אגב,316,incidentally,ʾgv
רבות,312,Many,rvwt
מישהו,311,someone,myšhw
המדינה,310,The state,hmdynh
נוסף,309,additional,nwsp
בנוסף,308,In addition,vnwsp
המשחק,308,The game,hmšḥq
אתר,308,site,ʾtr
תוכל,307,You can,twkl
שלהם,304,their,šlhm
ו,303,and,w
שלנו,302,our,šlnw
כמעט,301,almost,kmʿṭ
נמחק,301,Deleted,nmḥq
א,299,A,ʾ
תמונות,299,Photos,tmwnwt
כדאי,298,worthwhile,kdʾy
ספר,297,book,spr
הערכים,297,The values,hʿrkym
צורך,297,need,ṣwrk
מקרה,297,case,mqrh
מדוע,296,why,mdwʿ
חסר,295,short,ḥsr
ברור,295,clear,vrwr
ראש,295,head,rʾš
שלום,293,peace,šlwm
שהם,292,They are,šhm
בהם,290,In them,vhm
הכי,290,most,hky
התמונה,289,The picture,htmwnh
הזמן,288,Time,hzmn
השני,287,The other,hšny
בשם,286,fragrance,všm
לב,283,heart,lv
והוא,282,And he,whwʾ
במקרה,282,In case,vmqrh
למרות,278,despite,lmrwt
לקבל,278,get,lqvl
הכל,278,everything,hkl
מ,278,from,m
מבחינת,278,In terms of,mvḥynt
זהו,276,this is,zhw
שימוש,276,Use,šymwš
הרי,273,After all,hry
בדרך,272,through,vdrk
אשר,272,which,ʾšr
רוב,272,majority,rwv
בעיר,271,In the city,vʿyr
ילדים,270,children,yldym
רואה,270,seer,rwʾh
ד,270,D,d
אמר,269,saying,ʾmr
ראה,269,See,rʾh
התכוונתם,269,You meant,htkwwntm
מאז,268,since,mʾz
מבחינתי,268,For me,mvḥynty
מעט,267,few,mʿṭ
נוספים,265,Additional,nwspym
מהם,264,Them,mhm
ולכן,263,Therefore,wlkn
בארץ,263,In the country,vʾrṣ
צריכה,262,consumption,ṣrykh
בסדר,262,okay,vsdr
אומר,262,Say,ʾwmr
אולם,261,hall,ʾwlm
אכן,260,indeed,ʾkn
משחק,260,play,mšḥq
נמצא,259,available,nmṣʾ
די,258,The,dy
שונים,258,various,šwnym
בגלל,257,because of,vgll
שהיה,257,That was,šhyh
הזאת,254,this,hzʾt
אשמח,254,I would love,ʾšmḥ
האלה,252,The goddess,hʾlh
עדיף,252,preferable,ʿdyp
לתת,251,give,ltt
דיון,251,discussion,dywn
באותה,251,The same,vʾwth
כאלה,250,Such,kʾlh
עבור,250,for,ʿvwr
ועוד,249,And more,wʿwd
שצריך,249,Needed,šṣryk
לפחות,248,at least,lpḥwt
בתוך,248,within,vtwk
באמצעות,248,through,vʾmṣʿwt
השם,246,The name,hšm
ח,246,H,ḥ
פרק,246,chapter,prq
בעיקר,244,Mainly,vʿyqr
חייב,244,Must,ḥyyv
מזה,243,That,mzh
האתר,242,The site,hʾtr
במיוחד,241,especially,vmywḥd
קיים,240,Exists,qyym
חברי,239,My friends,ḥvry
אביב,236,spring,ʾvyv
להשתמש,234,use,lhštmš
המשפחה,233,Family,hmšpḥh
חופשי,233,free,ḥwpšy
מכל,232,tank,mkl
בסוף,231,in the end,vswp
מציע,231,Offers,mṣyʿ
תמונה,230,image,tmwnh
אתם,228,you,ʾtm
מערכת,227,system,mʿrkt
השנייה,227,The other,hšnyyh
בצורה,226,In a form,vṣwrh
כתוב,226,written,ktwv
בזמן,225,While,vzmn
שינוי,225,Change,šynwy
מתוך,225,of,mtwk
חשובים,224,Are important,ḥšwvym
עוסק,224,practitioner,ʿwsq
לשם,223,opal,lšm
דווקא,223,Precisely,dwwqʾ
היתה,223,Had,hyth
בכך,222,thereby,vkk
כרגע,221,Currently,krgʿ
עבודה,220,work,ʿvwdh
למעשה,220,actually,lmʿšh
העברית,220,Hebrew,hʿvryt
ניוטון,220,Newton,nywṭwn
ימים,219,Days,ymym
יכולה,219,Can,ykwlh
מקור,218,source,mqwr
גדולה,218,greatness,gdwlh
בויקיפדיה,218,Wikipedia,vwyqypdyh
חבל,217,rope,ḥvl
שיחה,217,call,šyḥh
כנראה,216,probably,knrʾh
קודם,216,previous,qwdm
ארצות,216,Countries,ʾrṣwt
זכויות,216,Rights,zkwywt
כולם,215,everybody,kwlm
וזה,215,And it,wzh
לזה,215,That,lzh
במשך,214,during,vmšk
איש,214,man,ʾyš
המידע,214,The information,hmydʿ
המלחמה,214,The war,hmlḥmh
שבו,213,Where,švw
הכנסת,213,The introduction,hknst
שונות,212,variance,šwnwt
לדעת,211,know,ldʿt
נוספת,211,Another,nwspt
תחת,210,under,tḥt
תודה,210,thanks,twdh
בעל,210,husband,vʿl
יחד,210,together,yḥd
בעקבות,210,after,vʿqvwt
מול,209,opposite,mwl
הדף,209,blast,hdp
ש,208,that,š
מבין,208,Understand,mvyn
הדבר,208,The thing,hdvr
ראיתי,208,I have seen,rʾyty
שלושה,208,three,šlwšh
ואת,206,And,wʾt
מלחמת,206,A war,mlḥmt
בעיה,205,problem,vʿyh
אחרות,205,Others,ʾḥrwt
ועל,204,And on,wʿl
וחצי,204,Half,wḥṣy
בקרב,204,among,vqrv
חוק,204,law,ḥwq
אינם,203,Are not,ʾynm
העבודה,203,Work,hʿvwdh
מאד,200,Very,mʾd
משפחה,200,family,mšpḥh
שלוש,199,three,šlwš
ראוי,199,worthy,rʾwy
הממשלה,199,The government,hmmšlh
הבית,198,The house,hvyt
סתם,198,mere,stm
דומה,198,like,dwmh
אופן,198,Way of,ʾwpn
החל,197,Apply,hḥl
התבנית,197,The pattern,htvnyt
מחדש,196,re,mḥdš
בשביל,196,for,všvyl
טובה,196,favor,ṭwvh
הדברים,196,Things,hdvrym
להגיע,195,reach,lhgyʿ
מצד,195,pillbox,mṣd
בעלי,195,My husband,vʿly
ויש,194,And there is,wyš
עושה,194,Makes,ʿwšh
חומר,194,material,ḥwmr
בשנת,193,In the year,všnt
הגדול,193,The biggest,hgdwl
הארץ,193,The land,hʾrṣ
בוויקיפדיה,193,In Wikipedia,vwwyqypdyh
ואם,192,And if,wʾm
אצל,192,in,ʾṣl
אנא,192,please,ʾnʾ
תוך,191,within,twk
ככה,191,so,kkh
קשר,191,link,qšr
כתב,191,writing,ktv
זכה,191,Won,zkh
לבין,190,And to,lvyn
סיבה,190,Cause,syvh
רבה,189,Great,rvh
הבעיה,189,The problem,hvʿyh
כולל,189,including,kwll
חייבים,189,Must,ḥyyvym
באנגלית,189,In English,vʾnglyt
בראש,188,In the head,vrʾš
אליו,188,To him,ʾlyw
בעברית,187,In Hebrew,vʿvryt
נולד,187,born,nwld
קישור,187,Link,qyšwr
החברה,186,The company,hḥvrh
בלתי,186,non,vlty
סוף,186,end,swp
לשנות,186,change,lšnwt
משנה,186,sub,mšnh
חוץ,185,outside,ḥwṣ
עניין,185,Interest,ʿnyyn
שאפשר,185,That can,šʾpšr
פירושונים,185,Commentaries,pyrwšwnym
חייו,184,His life,ḥyyw
לקרוא,184,read,lqrwʾ
לחלוטין,184,completely,lḥlwṭyn
ממנו,184,from him,mmnw
ביום,183,On the day,vywm
האדם,182,Man,hʾdm
צבא,182,army,ṣvʾ
בעבר,181,In the past,vʿvr
צריכים,181,Need,ṣrykym
חבר,181,friend,ḥvr
הדיון,181,The discussion,hdywn
החיים,180,Life,hḥyym
ככל,180,As far as,kkl
חדשות,180,news,ḥdšwt
קטן,179,small,qṭn
ע,179,From,ʿ
כללי,179,general,klly
בטוח,178,insurance,vṭwḥ
חצי,178,half,ḥṣy
קצר,178,short,qṣr
משפט,178,sentence,mšpṭ
לאחרונה,177,recently,lʾḥrwnh
מעבר,177,transition,mʿvr
ז,177,G,z
אותן,176,them,ʾwtn
יהודים,176,Jews,yhwdym
בתחום,175,within,vtḥwm
תהיה,175,Will,thyh
שכל,174,mind,škl
שמו,174,His name,šmw
פרטים,174,Details,prṭym
האחרון,173,Last,hʾḥrwn
השנים,173,The years,hšnym
בבקשה,172,please,vvqšh
השאלה,172,The question,hšʾlh
ליצור,171,create,lyṣwr
יצא,170,Out,yṣʾ
שמות,170,Names,šmwt
הגיע,170,Has arrived,hgyʿ
ואין,169,And there is no,wʾyn
יכולים,169,Can,ykwlym
פעמים,169,Times,pʿmym
מנת,168,portion,mnt
תשובה,168,answer,tšwvh
דוד,168,uncle,dwd
חשבתי,167,I thought,ḥšvty
משתמש,166,user,mštmš
להביא,166,bring,lhvyʾ
נוספות,166,More,nwspwt
חוסר,165,lack,ḥwsr
בשל,165,mature,všl
אנו,165,we,ʾnw
אבא,164,father,ʾvʾ
אנשי,164,People,ʾnšy
התמונות,163,The pictures,htmwnwt
בעוד,162,while,vʿwd
באותו,162,The same,vʾwtw
משרד,162,office,mšrd
הבריאות,162,The health,hvryʾwt
תחילת,162,The beginning,tḥylt
בסיס,161,base,vsys
נושא,161,carrier,nwšʾ
חושבים,161,Think,ḥwšvym
המקום,160,Place,hmqwm
לאור,159,in light of,lʾwr
איפה,159,where,ʾyph
לבית,158,nee,lvyt
הדרך,158,The way,hdrk
להבין,158,understand,lhvyn
מעולם,158,Never,mʿwlm
כלומר,158,i.e,klwmr
הצבעה,157,voting,hṣvʿh
לדבר,156,talk,ldvr
במסגרת,156,within,vmsgrt
הבנתי,155,I understood,hvnty
וכן,155,also,wkn
שגם,154,Also,šgm
אמא,154,mother,ʾmʾ
עבר,154,past,ʿvr
עליהם,154,On them,ʿlyhm
שונה,154,different,šwnh
שכן,154,neighbor,škn
פתח,154,opening,ptḥ
השנה,153,This year,hšnh
הנוכחי,153,The present,hnwkḥy
לפעמים,152,sometimes,lpʿmym
לכם,152,to you,lkm
מאוחר,152,late,mʾwḥr
חד,152,sharp,ḥd
חוקי,152,legal,ḥwqy
הבחירות,152,The elections,hvḥyrwt
מעל,151,above,mʿl
בעניין,151,On the matter,vʿnyyn
יהודה,151,Judas,yhwdh
צבאי,151,military,ṣvʾy
אותך,151,you,ʾwtk
האנגלית,151,English,hʾnglyt
עלי,151,pestle,ʿly
בת,150,daughter,vt
נעשה,150,done,nʿšh
הילדים,150,The kids,hyldym
הנושא,150,The subject,hnwšʾ
לפתוח,150,open,lptwḥ
תל,150,Tel,tl
בהמשך,150,Later,vhmšk
שדה,150,field,šdh
חודשים,149,Months,ḥwdšym
רוצים,148,Want,rwṣym
הללו,148,these,hllw
יהודי,148,Jewish,yhwdy
המצב,147,The situation,hmṣv
בהחלט,147,definitely,vhḥlṭ
ומה,146,And what,wmh
עליה,146,rise,ʿlyh
חודש,146,month,ḥwdš
כזו,146,Such,kzw
כוח,146,power,kwḥ
ידוע,146,known,ydwʿ
יונה,146,pigeon,ywnh
מקווה,145,Hope,mqwwh
כעת,145,Now,kʿt
יוצרים,145,Creators,ywṣrym
שיהיה,145,Be,šyhyh
חי,144,live,ḥy
והיא,144,And she,whyʾ
בעת,144,phobia,vʿt
מנסה,143,Trying to,mnsh
בתי,143,My houses,vty
מקורות,143,Sources,mqwrwt
הרשמי,143,The official,hršmy
מאשר,143,than,mʾšr
הקהילה,143,The community,hqhylh
הקבוצה,142,The group,hqvwṣh
הסרט,142,The movie,hsrṭ
מקובל,141,accepted,mqwvl
בירושלים,141,In Jerusalem,vyrwšlym
משום,141,Because,mšwm
שהערך,141,That the value,šhʿrk
ירושלים,140,Jerusalem,yrwšlym
הישראלי,140,Israeli,hyšrʾly
יורק,140,York,ywrq
קצרמר,140,Short,qṣrmr
להמשיך,139,continue,lhmšyk
כיצד,139,how,kyṣd
מומחה,139,expert,mwmḥh
יצחק,139,Isaac,yṣḥq
מחיקה,139,Deletion,mḥyqh
כאילו,138,As if,kʾylw
צה,138,Latter,ṣh
בזה,137,plunder,vzh
יהיו,137,Will,yhyw
אינני,137,I am not,ʾynny
צעד,137,step,ṣʿd
תחום,137,domain,tḥwm
הגיעו,136,Have arrived,hgyʿw
מומלץ,136,recommended,mwmlṣ
לציין,136,Indicate,lṣyyn
אביו,136,His father,ʾvyw
רחוב,136,street,rḥwv
השימוש,135,Use,hšymwš
נשים,135,women,nšym
משפחתו,135,His family,mšpḥtw
בהתאם,135,respectively,vhtʾm
באזור,134,In the area,vʾzwr
המלך,134,The king,hmlk
שנות,134,Years,šnwt
ראשון,134,first,rʾšwn
בתקופה,134,In the period,vtqwph
לאורך,134,along,lʾwrk
בפני,134,In front of,vpny
היהודים,134,The Jews,hyhwdym
חדשה,134,New,ḥdšh
חובה,134,duty,ḥwvh
ליד,133,near,lyd
אלף,133,thousand,ʾlp
מבקש,133,Asking for,mvqš
לעומת,133,compared to,lʿwmt
לוקה,133,Luca,lwqh
יפה,132,beautiful,yph
וכו,132,etc,wkw
יפן,132,Japan,ypn
בעד,132,for,vʿd
מופיע,132,Appears,mwpyʿ
בינתיים,131,In the meantime,vyntyym
אמרה,131,saying,ʾmrh
להעביר,131,transfer,lhʿvyr
הדין,131,Law,hdyn
כה,131,so,kh
כותב,131,writer,kwtv
להכניס,131,put in,lhknys
עיר,131,city,ʿyr
המשתמש,131,User,hmštmš
לגמרי,130,completely,lgmry
לומר,130,say,lwmr
ואף,130,And even,wʾp
לעתים,130,sometimes,lʿtym
קיימת,130,Exists,qyymt
במשחק,130,In a game,vmšḥq
קינג,130,King,qyng
למד,130,Learned,lmd
הראשי,129,The main,hrʾšy
מוזמן,129,Welcome,mwzmn
לתקן,129,repair,ltqn
עריכה,129,editing,ʿrykh
עושים,128,Do,ʿwšym
תקופה,128,period,tqwph
קל,128,easy,ql
החוק,128,Law,hḥwq
משתמשים,128,Users,mštmšym
בידי,128,In my hand,vydy
ארץ,128,country,ʾrṣ
למשמעות,128,For meaning,lmšmʿwt
הצבא,127,The army,hṣvʾ
מצב,127,situation,mṣv
הסיפור,127,The story,hsypwr
להרחיב,127,expand,lhrḥyv
מורחב,127,expanded,mwrḥv
פעולה,126,action,pʿwlh
שהיו,126,That were,šhyw
אפשרות,126,possibility,ʾpšrwt
עומד,126,standing,ʿwmd
עובד,126,worker,ʿwvd
עצמה,125,herself,ʿṣmh
חיל,125,force,ḥyl
לבדוק,125,check,lvdwq
אור,125,light,ʾwr
הצעת,125,A suggestion,hṣʿt
הצבאי,125,The military,hṣvʾy
בחסר,125,In missing,vḥsr
שבה,124,Where,švh
וכך,124,And so,wkk
שאלה,124,question,šʾlh
מיד,124,immediately,myd
העיצוב,124,The design,hʿyṣwv
דקות,123,subtlety,dqwt
האחרונות,123,The last,hʾḥrwnwt
הקישור,123,The link,hqyšwr
חשובה,122,Important,ḥšwvh
במצב,122,In a position,vmṣv
בשנים,122,In the years,všnym
הסבר,122,explanation,hsvr
בנו,122,His son,vnw
לשים,121,put,lšym
מתאים,121,appropriate,mtʾym
להשאיר,121,leave,lhšʾyr
ס,121,S,s
להעלות,121,raise,lhʿlwt
שכתוב,121,rewriting,šktwv
בשלב,120,In a stage,všlv
בי,120,in me,vy
אלי,120,Me,ʾly
למקום,120,Place,lmqwm
הציבור,120,The public,hṣyvwr
דין,120,law,dyn
מרכז,120,coordinator,mrkz
במספר,120,In number,vmspr
לערוך,120,edit,lʿrwk
ידע,120,knowledge,ydʿ
רווח,120,spacious,rwwḥ
הנ,120,The man,hn
ארבעה,119,four,ʾrvʿh
שאנחנו,119,That we,šʾnḥnw
בתור,119,as a,vtwr
חוזר,119,circular,ḥwzr
בארצות,119,In the countries,vʾrṣwt
החדש,119,The new,hḥdš
לרוב,118,mostly,lrwv
ממנה,118,from her,mmnh
לבצע,118,perform,lvṣʿ
יודעים,118,Know,ywdʿym
חיצוני,118,external,ḥyṣwny
מדינת,117,State,mdynt
קיימים,117,Exist,qyymym
יד,117,hand,yd
מעניין,117,Interesting,mʿnyyn
ילד,117,child,yld
אנציקלופדיה,117,encyclopedia,ʾnṣyqlwpdyh
ויקיפדים,117,Wikiped,wyqypdym
ועד,116,committee,wʿd
טעם,116,taste,ṭʿm
חינוך,116,Education,ḥynwk
כלי,116,tool,kly
שאי,116,Asking,šʾy
מדיניות,116,policy,mdynywt
המספרים,116,The numbers,hmsprym
עיצוב,116,Design,ʿyṣwv
האטום,116,The atom,hʾṭwm
וכל,115,And all,wkl
אמור,115,supposed,ʾmwr
לשלוח,115,send,lšlwḥ
לעזור,115,help,lʿzwr
חברת,115,Company,ḥvrt
לשמוע,115,hear,lšmwʿ
ההיסטוריה,115,History,hhysṭwryh
הפורנוגרפיה,115,Pornography,hpwrnwgrpyh
האחרונה,114,The last,hʾḥrwnh
איזו,114,Which,ʾyzw
הפך,114,opposite,hpk
מושג,114,idea,mwšg
דוגמאות,114,Examples,dwgmʾwt
נקרא,114,called,nqrʾ
לעבוד,114,work,lʿvwd
אוכל,113,eater,ʾwkl
סוג,113,type,swg
מתי,113,when,mty
בתחילת,113,At the beginning,vtḥylt
הגדולה,113,The Great,hgdwlh
לצד,113,Beside,lṣd
באוניברסיטת,113,At the University,vʾwnyvrsyṭt
הטקסט,113,The text,hṭqsṭ
להסביר,113,explain,lhsvyr
מכיוון,113,Because,mkywwn
מייל,113,Mile,myyl
מכיר,112,Know,mkyr
העניין,112,Interest,hʿnyyn
ספק,112,supplier,spq
הים,112,The sea,hym
מיליון,112,million,mylywn
נמצאת,112,Is,nmṣʾt
בספר,112,In the book,vspr
בעיני,112,To me,vʿyny
ההצבעה,112,Voting,hhṣvʿh
ורק,111,And only,wrq
שעות,111,Hours,šʿwt
עקב,111,heel,ʿqv
מדינות,111,Countries,mdynwt
הישראלית,111,Israeli,hyšrʾlyt
בערכים,111,In values,vʿrkym
עשה,110,Made,ʿšh
ימי,110,maritime,ymy
עשרות,110,Tens,ʿšrwt
קיבל,110,Received,qyvl
לערכים,110,To values,lʿrkym
מסכים,110,Agree,mskym
סיפור,109,A story,sypwr
ארוך,109,long,ʾrwk
בדיקות,109,Tests,vdyqwt
בתבנית,109,In a pattern,vtvnyt
להגיד,109,say,lhgyd
להציג,109,display,lhṣyg
ערב,109,evening,ʿrv
שכתבת,109,Wrote,šktvt
מלא,108,full,mlʾ
שניתן,108,Granted,šnytn
פני,108,penny,pny
מדבר,108,desert,mdvr
היטב,108,well,hyṭv
גרמניה,108,Germany,grmnyh
היחיד,108,The only one,hyḥyd
לדעתך,108,In your opinion,ldʿtk
בתקופת,108,During the period,vtqwpt
במלחמת,108,In a war,vmlḥmt
מחוץ,107,Outside,mḥwṣ
היסטוריה,107,history,hysṭwryh
אומרת,107,Says,ʾwmrt
מדינה,107,state,mdynh
מהירה,107,Fast,mhyrh
במרכז,107,At the center,vmrkz
משמעות,107,meaning,mšmʿwt
בבחירות,107,In the election,vvḥyrwt
חזרה,107,return,ḥzrh
ברוב,107,In most,vrwv
לישראל,107,To Israel,lyšrʾl
קטנה,107,Small,qṭnh
ספרים,106,Books,sprym
השבוע,106,This week,hšvwʿ
והם,106,And they,whm
צבאית,106,Military,ṣvʾyt
המאה,106,The century,hmʾh
בתמונה,106,In the picture,vtmwnh
ייתכן,106,May,yytkn
זכות,106,right,zkwt
הבקשה,106,The request,hvqšh
מלחמה,105,war,mlḥmh
חסרי,105,Lackless,ḥsry
לאחרים,105,To others,lʾḥrym
מהערך,105,From the value,mhʿrk
כלשהו,104,any,klšhw
כלום,104,nothing,klwm
הקשר,104,connection,hqšr
לבן,104,white,lvn
דוגמה,104,example,dwgmh
תשומת,104,Attention,tšwmt
חסרים,104,Missing,ḥsrym
שכבר,103,Already,škvr
לפנות,103,evacuate,lpnwt
גדולים,103,Large,gdwlym
חברים,103,Friends,ḥvrym
סביב,103,around,svyv
אמנם,103,indeed,ʾmnm
חברות,103,membership,ḥvrwt
מאות,103,Hundreds,mʾwt
אלפי,103,Thousands,ʾlpy
ברחבי,103,Around,vrḥvy
מסוים,103,certain,mswym
ערכי,103,Values,ʿrky
לצורך,103,For the purpose,lṣwrk
האי,103,The island,hʾy
נבחרת,103,team,nvḥrt
החדשה,103,The new,hḥdšh
מראש,102,in advance,mrʾš
יוצא,102,outgoing,ywṣʾ
טובים,102,Good,ṭwvym
מכך,102,This,mkk
משפחת,102,Family,mšpḥt
בימים,102,In the days,vymym
היהודי,102,The Jew,hyhwdy
יוסף,102,Joseph,ywsp
ורג,102,Vagan,wrg
חברה,101,company,ḥvrh
בדיקה,101,examination,vdyqh
דעת,101,knowledge,dʿt
לחפש,101,search,lḥpš
למעלה,101,up,lmʿlh
שמאל,101,left,šmʾl
במקרים,101,In cases,vmqrym
ניו,101,New,nyw
החולים,101,The patients,hḥwlym
המילה,101,The word,hmylh
כגון,101,such as,kgwn
לאתר,101,locate,lʾtr
מצדה,101,For its part,mṣdh
חמישה,100,five,ḥmyšh
לעולם,100,forever,lʿwlm
גבוהה,100,Tall,gvwhh
עצמי,100,myself,ʿṣmy
שבוע,100,week,švwʿ
להשיג,100,achieve,lhšyg
מותר,100,permitted,mwtr
הילד,100,The boy,hyld
נחשב,100,Considered,nḥšv
באירופה,100,In Europe,vʾyrwph
אישור,100,OK,ʾyšwr
הנשיא,100,President,hnšyʾ
ביקורת,100,Criticism,vyqwrt
יחסית,100,relatively,yḥsyt
נרחב,100,extensive,nrḥv
גילגמש,100,Gilgamesh,gylgmš
שאינו,99,Not,šʾynw
הבא,99,next,hvʾ
ללמוד,99,learn,llmwd
שינויים,99,Changes,šynwyym
כיוון,99,A direction,kywwn
האוויר,99,The air,hʾwwyr
לעבור,99,pass,lʿvwr
לחץ,99,pressure,lḥṣ
דעתך,99,Your mind,dʿtk
מניח,99,Place,mnyḥ
ביחד,98,together,vyḥd
בניגוד,98,In contrast,vnygwd
מפקד,98,commander,mpqd
פנים,98,face,pnym
בעצם,97,actually,vʿṣm
בא,97,Come,vʾ
