hebrew,count
תחום,137
הגיעו,136
מומלץ,136
לציין,136
אביו,136
רחוב,136
השימוש,135
נשים,135
משפחתו,135
בהתאם,135
באזור,134
המלך,134
שנות,134
ראשון,134
בתקופה,134
לאורך,134
בפני,134
היהודים,134
חדשה,134
חובה,134
ליד,133
אלף,133
מבקש,133
לעומת,133
לוקה,133
יפה,132
וכו,132
יפן,132
בעד,132
מופיע,132
בינתיים,131
אמרה,131
להעביר,131
הדין,131
כה,131
כותב,131
להכניס,131
עיר,131
המשתמש,131
לגמרי,130
לומר,130
ואף,130
לעתים,130
קיימת,130
במשחק,130
קינג,130
למד,130
הראשי,129
מוזמן,129
לתקן,129
עריכה,129
עושים,128
תקופה,128
קל,128
החוק,128
משתמשים,128
בידי,128
ארץ,128
למשמעות,128
הצבא,127
מצב,127
הסיפור,127
להרחיב,127
מורחב,127
פעולה,126
שהיו,126
אפשרות,126
עומד,126
עובד,126
עצמה,125
חיל,125
לבדוק,125
אור,125
הצעת,125
הצבאי,125
בחסר,125
שבה,124
וכך,124
שאלה,124
מיד,124
העיצוב,124
דקות,123
האחרונות,123
הקישור,123
חשובה,122
במצב,122
בשנים,122
הסבר,122
בנו,122
לשים,121
מתאים,121
להשאיר,121
ס,121
להעלות,121
שכתוב,121
בשלב,120
בי,120
אלי,120
למקום,120
הציבור,120
דין,120
מרכז,120
במספר,120
לערוך,120
ידע,120
רווח,120
הנ,120
ארבעה,119
שאנחנו,119
בתור,119
חוזר,119
בארצות,119
החדש,119
לרוב,118
ממנה,118
לבצע,118
יודעים,118
חיצוני,118
מדינת,117
קיימים,117
יד,117
מעניין,117
ילד,117
אנציקלופדיה,117
ויקיפדים,117
ועד,116
טעם,116
חינוך,116
כלי,116
שאי,116
מדיניות,116
המספרים,116
עיצוב,116
האטום,116
וכל,115
אמור,115
לשלוח,115
לעזור,115
חברת,115
לשמוע,115
ההיסטוריה,115
הפורנוגרפיה,115
האחרונה,114
איזו,114
הפך,114
מושג,114
דוגמאות,114
נקרא,114
לעבוד,114
אוכל,113
סוג,113
מתי,113
בתחילת,113
הגדולה,113
לצד,113
באוניברסיטת,113
הטקסט,113
להסביר,113
מכיוון,113
מייל,113
מכיר,112
העניין,112
ספק,112
הים,112
מיליון,112
נמצאת,112
בספר,112
בעיני,112
ההצבעה,112
ורק,111
שעות,111
עקב,111
מדינות,111
הישראלית,111
בערכים,111
עשה,110
ימי,110
עשרות,110
קיבל,110
לערכים,110
מסכים,110
סיפור,109
ארוך,109
בדיקות,109
בתבנית,109
להגיד,109
להציג,109
ערב,109
שכתבת,109
מלא,108
שניתן,108
פני,108
מדבר,108
היטב,108
גרמניה,108
היחיד,108
לדעתך,108
בתקופת,108
במלחמת,108
מחוץ,107
היסטוריה,107
אומרת,107
מדינה,107
מהירה,107
במרכז,107
משמעות,107
בבחירות,107
חזרה,107
ברוב,107
לישראל,107
קטנה,107
ספרים,106
השבוע,106
והם,106
צבאית,106
המאה,106
בתמונה,106
ייתכן,106
זכות,106
הבקשה,106
מלחמה,105
חסרי,105
לאחרים,105
מהערך,105
כלשהו,104
כלום,104
הקשר,104
לבן,104
דוגמה,104
תשומת,104
חסרים,104
שכבר,103
לפנות,103
גדולים,103
חברים,103
סביב,103
אמנם,103
חברות,103
מאות,103
אלפי,103
ברחבי,103
מסוים,103
ערכי,103
לצורך,103
האי,103
נבחרת,103
החדשה,103
מראש,102
יוצא,102
טובים,102
מכך,102
משפחת,102
בימים,102
היהודי,102
יוסף,102
ורג,102
חברה,101
בדיקה,101
דעת,101
לחפש,101
למעלה,101
שמאל,101
במקרים,101
ניו,101
החולים,101
המילה,101
כגון,101
לאתר,101
מצדה,101
חמישה,100
לעולם,100
גבוהה,100
עצמי,100
שבוע,100
להשיג,100
מותר,100
הילד,100
נחשב,100
באירופה,100
אישור,100
הנשיא,100
ביקורת,100
יחסית,100
נרחב,100
גילגמש,100
שאינו,99
הבא,99
ללמוד,99
שינויים,99
כיוון,99
האוויר,99
לעבור,99
לחץ,99
דעתך,99
מניח,99
ביחד,98
בניגוד,98
מפקד,98
פנים,98
בעצם,97
בא,97
ביניהם,97
מפני,97
להוריד,97
יוכל,97
שזו,97
לאחד,97
האמת,97
בשימוש,97
שגיאות,97
הוספת,97
ארבע,96
ואולי,96
שבהם,96
גורם,96
נכתב,96
אסור,96
השלישי,96
חופש,96
המועצות,96
כתבתי,96
הערות,96
ללכת,95
אותנו,95
אליה,95
כנגד,95
סדר,95
שר,95
סביר,95
שמדובר,95
חמש,95
פגיעה,95
מצאתי,95
תמחק,95
בטח,94
הסיבה,94
בהן,94
ת,94
בר,94
הלאומי,94
האנשים,94
ראשי,94
בסופו,94
שעה,94
צודק,94
הפעם,94
האלבום,94
נא,94
נשמע,93
מים,93
כולו,93
הודעה,93
לשאול,93
אנסה,93
שאר,93
ישנם,93
הצליח,93
הראשונים,93
דמויות,93
הוספתי,93
רשימת,93
מסוימת,92
כסף,92
שירות,92
מגיע,92
לראשונה,92
רגע,92
שבועיים,92
זוהי,92
כאלו,92
המפלגה,92
מקצוע,92
צרפת,92
במקביל,91
לצאת,91
קרוב,91
עולה,91
תנאי,91
לארץ,91
זכתה,91
כלפי,91
מותו,91
במידה,90
פרטי,90
מלבד,90
טיפול,90
באינטרנט,90
במהירות,90
לשימוש,90
החינוך,90
רמת,90
כוחות,90
כאמור,90
שאינם,90
כתוצאה,90
אילו,90
לכאן,90
נהוג,90
אישי,89
רעיון,89
בעיות,89
למנוע,89
תפקיד,89
נשיא,89
ק,89
תוכן,89
בקשה,89
רשות,89
הצלחתי,89
פורטל,89
איתי,88
ממני,88
היתר,88
היהודית,88
חשבון,88
יצאו,88
מהווה,88
היחידה,88
והן,88
הפסקה,88
פשוטה,88
לוויקיפדיה,88
הלב,87
לשמור,87
משחקי,87
גבוה,87
כזאת,87
משם,87
נמצאים,87
עולם,87
חלקם,87
יתר,87
הקורונה,87
קרב,87
העליון,87
גבול,87
איננה,87
לחזור,87
חוקים,87
איני,87
ימחק,87
מתחת,86
איננו,86
חלקים,86
לעניין,86
אישית,86
נוכל,86
עובר,86
בנוגע,86
כחול,86
במקומות,86
ארגון,86
סיום,86
כמות,86
חולים,86
דמות,86
מחקר,86
רצוי,86
השאר,86
להגיש,86
התנועה,86
חלקי,86
חיילים,86
הבריטי,86
ויקיפד,86
קרה,85
פרשת,85
אפשרי,85
עצמם,85
פתרון,85
תגובה,85
הספרים,85
היקום,85
שנית,85
חיפה,85
לקחת,84
הרעיון,84
אדום,84
הגיעה,84
אירופה,84
החלה,84
ובכל,84
יעקב,84
עזרה,84
עשר,84
דו,84
טעות,84
אבי,84
בתל,84
בגיל,83
נתניהו,83
לדיון,83
לילדים,83
ברורה,83
שלכם,83
יכולת,83
רקע,83
השיר,83
חיפוש,83
האור,83
שכתבתי,83
לדף,83
הביתה,82
רואים,82
ושוב,82
בקיצור,82
קבוצת,82
העובדה,82
מקבל,82
עברו,82
למען,82
בשני,82
בשנה,82
פורסם,82
מילים,82
עברה,82
למשפחה,82
האחרונים,82
פרס,82
הלא,82
תיאור,82
התנגדות,82
הלהקה,82
המון,81
ברגע,81
בריאות,81
מיותר,81
למשחק,81
במדינה,81
המשיך,81
בעתיד,81
לדוגמה,81
סרטים,81
האיש,81
תנועת,81
העברי,81
פרויקט,81
הסדרה,81
הקטגוריה,81
קורה,80
סרט,80
חכם,80
אמרתי,80
הנראה,80
קבוצות,80
פתיחת,80
השחקן,80
הצדדים,80
דעתי,79
יודעת,79
רע,79
פעילות,79
לנסות,79
הנשים,79
באיזה,79
האמריקאי,79
דורש,79
מבנה,79
עץ,79
מסחרי,79
קו,79
חופשיות,79
תבניות,79
אבשלום,79
שמה,78
מחר,78
לעיר,78
לחיות,78
במה,78
לקבוע,78
תקופת,78
החליט,78
העם,78
כותבים,78
האחרים,78
ניסיתי,78
הוועדה,78
המערכת,78
ברית,78
ביוגרפיה,78
ענתבי,78
כיפא,78
עשרה,77
ארוכה,77
מוצא,77
הימים,77
בקשר,77
ואפילו,77
בהרבה,77
ראשית,77
בעזרת,77
חייבת,77
כלשהי,77
לספר,77
למי,77
האופציה,77
מאת,77
תרגום,77
שימש,77
פעיל,77
מספרים,76
שנת,76
ון,76
הבחירה,76
טקסט,76
מין,76
מכאן,76
פרט,76
שווה,76
רלוונטי,76
במחלוקת,76
עליך,76
אנציקלופדי,76
לבד,75
החלק,75
ברירה,75
קבע,75
מרבית,75
חזר,75
החלו,75
גיל,75
מחוז,75
במדינת,75
יהודית,75
מהן,75
ישנה,75
שטח,75
קול,75
ישראלי,75
שאת,75
חול,75
חל,75
בפעם,74
מוסיף,74
חב,74
המטרה,74
נבחר,74
ביטוי,74
פעולות,74
הקרב,74
מלך,74
מסוג,74
כדור,74
לבוא,74
סימוכין,74
בחוץ,73
מיוחד,73
להישאר,73
שנתיים,73
מצליח,73
הבאים,73
לאנשים,73
מעדיף,73
ממה,73
ממשלת,73
נשאר,73
היכן,73
הביטחון,73
עמד,73
תהליך,73
דם,73
צוות,73
בפועל,73
האנגלי,73
שמחה,73
המקור,73
הכוונה,73
הפניה,73
בוט,73
השירות,72
חשובות,72
להוציא,72
שאלות,72
להתחיל,72
אליהם,72
בניית,72
לפעול,72
בשנות,72
תשובות,72
התשובה,72
בהיסטוריה,72
טועה,72
לבסוף,72
להן,72
מפעיל,72
תושבי,72
עצם,72
הולך,72
מוכן,72
בדיון,72
המונח,72
הרשימה,72
אופציה,71
מיני,71
באה,71
הוגן,71
חיי,71
אצלי,71
רוח,71
קבלת,71
איתו,71
רציתי,71
קטנים,71
בברכה,71
התורה,71
האינטרנט,71
שיטת,71
ברשת,71
עובדים,71
בתפקיד,71
הכוח,71
לעמוד,71
אורי,71
עברית,71
ריצ,71
הבאה,71
השונים,71
להסיר,71
מפת,71
מעמד,71
פנה,71
תרבות,71
צבעים,71
בשמחה,71
הקישורים,71
אמחק,71
הטוב,70
לחשוב,70
לצערי,70
מאחורי,70
נראית,70
מהר,70
אינן,70
משמעותי,70
תוצאות,70
דרכים,70
לאחת,70
כתיבה,70
גרוע,70
מבצע,70
ט,70
תקווה,70
הינו,70
למדי,70
העולמית,70
קורות,70
אברהם,70
צבע,70
נמחקה,70
פצצת,70
חזק,69
שורה,69
אוהב,69
בעלת,69
הצעיר,69
העונה,69
פתוח,69
רפואי,69
עובדה,69
בקרוב,69
הזהב,69
טופס,69
מובן,69
גדל,69
שמעתי,69
היית,69
קטגוריה,69
ויקי,69
שנמחק,69
חושבת,68
אומרים,68
שבת,68
אחוז,68
מעלה,68
משפחות,68
רישיון,68
נתונים,68
לדון,68
חסרות,68
להחזיר,68
בסרט,68
זכו,68
מקצועי,68
מונה,68
לקצץ,68
משה,68
שלם,68
הקרוב,68
לאכול,68
אודות,68
לשחזר,68
הצבעים,68
כפר,68
לבחור,67
חודשיים,67
לקיים,67
מערכות,67
נתן,67
במערכת,67
מנהל,67
המחקר,67
הפכה,67
קיום,67
ועדת,67
שהייתה,67
שמונה,67
צעיר,67
מתכוון,67
דה,67
יימס,67
בקטגוריה,67
עלה,67
אינך,67
במזנון,67
סליחה,67
גוגל,67
העריכה,67
דחוף,67
שבע,66
קוראים,66
יקרה,66
לגלות,66
לבנות,66
בהכרח,66
גורמים,66
מקרים,66
ארה,66
הכפר,66
הארגון,66
הכדורגל,66
התיכון,66
מידי,66
להפוך,66
ספרד,66
ספורט,66
העצמאות,66
הביטוי,66
שניהם,66
פשרה,66
שי,66
ואתה,66
מצא,65
שחור,65
בחברה,65
לשני,65
ימין,65
הזוג,65
התקשורת,65
פוליטית,65
לעיתים,65
תשלום,65
מסוימים,65
היישוב,65
לקראת,65
הגוף,65
מבט,65
לבקש,65
הלאומית,65
דעות,65
מכיל,65
רבין,65
החומר,65
אלון,65
חגי,65
הצבאית,65
דברי,65
קשור,65
לפועל,65
הצבעת,65
אנציקלופדית,65
בפרס,65
להופיע,65
נורא,64
נחמד,64
לתוך,64
עמוד,64
גן,64
ים,64
תורה,64
נכונה,64
נקודות,64
הבדל,64
שלמה,64
בסך,64
הנבחרת,64
המים,64
הטבע,64
אצלנו,64
תואר,64
שמח,64
חג,64
מיקום,64
המתקפה,64
ממליץ,64
שים,64
אלמוג,64
שהוספת,64
נכנס,63
בוודאי,63
קיבלתי,63
בדרום,63
גמור,63
ממשיך,63
התקופה,63
יכולות,63
בזכות,63
אוסף,63
תוכנית,63
ולאחר,63
גוף,63
במזרח,63
מאמרים,63
אנגלית,63
בעלות,63
המושג,63
טווח,63
תאריך,63
לעברית,63
לשלם,62
האלו,62
היינו,62
הכתיבה,62
הפחות,62
זוג,62
רכב,62
החרדי,62
מרכזי,62
גבולות,62
הרשות,62
יכולתי,62
המרכזי,62
קבוצה,62
ההחלטה,62
התוכן,62
רחב,62
דיונים,62
גודל,62
בניו,62
פצצות,62
ברחוב,62
נוצרו,62
מצחיק,62
נמצאות,62
פטור,62
הפרלמנט,62
מחקת,62
שמישהו,61
רבי,61
הסכם,61
למטה,61
מראה,61
בהתחלה,61
מחשב,61
הסביבה,61
לשעבר,61
מפתח,61
שתהיה,61
אלוף,61
הטיפול,61
סגן,61
מידה,61
שבועות,61
שלאחר,61
מאמין,61
רצח,61
ך,61
כנסת,61
התוכנית,61
ישראלים,61
שקלים,61
החול,61
נחשבת,61
וושינגטון,61
הפרטים,61
ספציפי,61
לויקיפדיה,61
עמוק,60
יחסי,60
בסיסי,60
פתאום,60
ובין,60
בצד,60
מעוניין,60
בחיים,60
מחפש,60
פסול,60
לבני,60
הסדר,60
הגדולים,60
טלוויזיה,60
נותן,60
אתמול,60
אירועים,60
סגור,60
לעיל,60
ממך,60
לשאלה,60
קיימות,60
לכאורה,60
פוליטי,60
השניים,60
רשמי,60
השואה,60
פרסם,60
מיוחדת,60
עשיתי,60
הטלת,60
תרצה,60
להורג,60
אבקש,60
בחדר,59
פעמיים,59
לגרום,59
תחושה,59
כשאני,59
רגיל,59
בכמה,59
ושם,59
לקשר,59
במילים,59
המקרים,59
משמש,59
לטפל,59
אמריקה,59
ההגנה,59
עלינו,59
בגוף,59
הגנה,59
בצפון,59
עובדות,59
בנה,59
מילה,59
עת,59
אורך,59
מתחיל,59
נושאים,59
שכונה,59
קורא,59
להציע,59
המשך,59
שמתי,59
חן,59
בפרלמנט,59
בגוגל,59
טכנית,59
טובות,58
מת,58
להיכנס,58
פ,58
מקבלים,58
המילים,58
אש,58
נפוץ,58
להציץ,58
ואילו,58
פארק,58
להניח,58
לעבר,58
מיכאל,58
העתיקה,58
מעין,58
מזון,58
לאומי,58
כעבור,58
ניסיון,58
הפנים,58
תגובות,58
ניסוח,58
חסימה,58
האיחוד,58
סמל,58
המבנה,58
החלטה,58
למישהו,58
פרסום,58
לטעמי,58
מטעם,58
הוצאה,58
נמחקו,58
היפנים,58
באמצע,57
ועם,57
האירוע,57
הצלחה,57
איתה,57
בהקשר,57
משחקים,57
כולנו,57
דולר,57
המדינות,57
ביחס,57
מצפון,57
לתפקיד,57
בשטח,57
הלבן,57
מלאה,57
האחים,57
זהב,57
ידעתי,57
בואו,57
שכדאי,57
מחלוקת,57
בימי,57
אחיו,57
צורת,57
היוצרים,57
ם,57
למלא,57
דעה,57
להצלחה,57
האימפריה,57
פועל,57
המסמכים,57
להחלטה,57
הפצצה,57
רד,57
קדם,56
לעבודה,56
גברים,56
משקל,56
לטובת,56
יחס,56
אישה,56
בשבוע,56
השפעה,56
שיר,56
המלא,56
שיהיו,56
משני,56
לפיכך,56
עונה,56
בחלק,56
אחריו,56
תנועה,56
תחילה,56
חיובי,56
עתה,56
להחליף,56
הפעולה,56
יוצר,56
השינוי,56
כהן,56
כבוד,56
המאמר,56
שכר,56
הפרק,56
בראשית,56
נ,56
צילום,56
קבוע,55
סין,55
יו,55
בחודש,55
טוען,55
האישה,55
ועדיין,55
נמוך,55
בארה,55
מוכר,55
פרופ,55
הצורך,55
רצה,55
ציון,55
נוצר,55
בחזרה,55
אנגליה,55
נאלץ,55
סיים,55
קטגוריות,55
קרן,55
בסגנון,55
נפרד,55
מאחר,55
אוויר,55
צורה,55
שלח,55
תרגיש,55
לידי,54
אהבה,54
לנושא,54
מצפה,54
גישה,54
עשוי,54
לעצור,54
תקשורת,54
ויותר,54
לרגע,54
שחקן,54
הוצאת,54
כספים,54
במשרד,54
טען,54
הנכון,54
אפריקה,54
נדמה,54
משמעותית,54
עמדה,54
מזכיר,54
הופך,54
עסק,54
קהל,54
בקלות,54
אזרחים,54
המקורי,54
הגדרה,54
הגעת,54
מאמר,54
החלל,54
דפים,54
הנצרות,54
מפה,54
בלילה,53
קפה,53
שאולי,53
לפגוע,53
לאן,53
שעבר,53
בעבודה,53
איתם,53
להגן,53
המחשב,53
לשמש,53
לציון,53
רשימה,53
שבין,53
נותר,53
שאנשים,53
בשעה,53
מבלי,53
ניסה,53
לכיוון,53
ישראלית,53
שאל,53
עורך,53
השולחן,53
ידין,53
דבריו,53
השופט,53
הביאו,53
היפני,53
הניסוח,53
איתך,53
ברק,52
לוקח,52
הרכב,52
הודעות,52
שעל,52
במשפט,52
נוער,52
לוח,52
ההבדל,52
חשש,52
השלטון,52
מיליארד,52
החוקרים,52
ספרות,52
השפה,52
המספר,52
הצעה,52
חדר,52
ספרו,52
מוקדם,52
הקמת,52
קורס,52
מציג,52
דתי,52
גדולות,52
ישנו,52
שירים,52
יצירת,52
באנציקלופדיה,52
ולמחוק,52
ההפניה,52
שלהן,51
אמת,51
לפתור,51
קרא,51
ץ,51
איסור,51
שקל,51
באשר,51
לשחק,51
בכיר,51
בדבר,51
דרכו,51
לפתח,51
חוקרים,51
לקבלת,51
השיטה,51
גרם,51
רמז,51
הוחלט,51
טרם,51
ברוח,51
שאול,51
להצביע,51
שכתב,51
עבד,51
שירותו,51
לשינוי,51
הגיוני,51
הקורא,51
המקובל,51
סבור,51
הכוחות,51
תת,51
סבתא,51
המחוז,51
מסחרית,51
שוליים,51
צבי,51
במחיקה,51
ערוך,51
המומחה,51
דבריך,51
מזמן,50
אמרו,50
השניה,50
בעצמו,50
שאם,50
מקומות,50
מקובלת,50
הצליחו,50
היחסים,50
צד,50
מומחים,50
באי,50
התנהגות,50
טראמפ,50
רוסיה,50
נשק,50
מזרח,50
לילה,50
תולדות,50
תכונות,50
רופא,50
מהי,50
נפטר,50
רחוק,50
הטענה,50
החיילים,50
לסייע,50
הביניים,50
כוללת,50
גרסה,50
מתאר,50
לכולם,50
מופיעים,50
התייחסות,50
בעיצוב,50
שכך,50
חופשית,50
מהו,50
יהדות,50
כתיב,50
טבח,50
המחיקה,50
קצרמרים,50
אשתדל,50
תלוי,49
קצרה,49
מעשה,49
סימן,49
קרובות,49
מוחלט,49
הלכה,49
שפה,49
וזו,49
שאתם,49
בגרמניה,49
למשך,49
כבד,49
סופר,49
מנסים,49
יתכן,49
לקדם,49
הנה,49
ושל,49
דמותו,49
להתייחס,49
באוניברסיטה,49
קטנות,49
שינה,49
שלישית,49
בשתי,49
שניים,49
בשפה,49
המרד,49
התרבות,49
להצבעה,49
לענות,49
חנוכה,49
לשקול,49
ישירות,49
אשתו,49
תן,49
אבן,49
במרחב,49
איחוד,49
חריגים,49
יורחב,49
כתבת,49
הירושימה,49
מרגיש,48
מגיעים,48
והיה,48
לסיים,48
זוכר,48
המרכז,48
בכתב,48
למחרת,48
חקיקה,48
סמוך,48
החרדית,48
אתכם,48
בבתי,48
החוץ,48
דרום,48
סדרת,48
הרביעי,48
שירת,48
בצה,48
לכנסת,48
מחקרים,48
הגברים,48
ואפשר,48
במדינות,48
בג,48
מס,48
לקח,48
שש,48
שחקנים,48
לבנון,48
הביקורת,48
האפשרות,48
הבירה,48
סיפורים,48
המטוס,48
העץ,48
בסדרה,48
עצמך,48
הרוח,48
זאב,48
כתיבת,48
ישנן,48
לוי,48
שכונת,48
שלחתי,48
גלר,48
לאט,47
אזור,47
למצב,47
אמיתי,47
מפריע,47
דופן,47
רציני,47
הערב,47
בעמוד,47
שהן,47
נזק,47
