Hebrew,English
רוצה(rwṣh),Would like to
אינו(ʾynw),Is not
אנחנו(ʾnḥnw),we
אלו(ʾlw),These
פעם(pʿm),time
פשוט(pšwṭ),simple
משהו(mšhw),something
לה(lh),her
ה(h),the
בן(vn),son
אחרת(ʾḥrt),otherwise
הספר(hspr),The book
הראשון(hrʾšwn),First
שלך(šlk),your
לכך(lkk),This
יום(ywm),day
שנים(šnym),Years
שנה(šnh),year
להוסיף(lhwsyp),add
בה(vh),In it
אנשים(ʾnšym),people
וגם(wgm),also
העולם(hʿwlm),The world
שוב(šwv),again
הברית(hvryt),Covenant
מקום(mqwm),place
לנו(lnw),us
עכשיו(ʿkšyw),now
הן(hn),they
כזה(kzh),such
במקום(vmqwm),instead of
אדם(ʾdm),person
בדף(vdp),On the page
בלי(vly),without
לכן(lkn),so
מידע(mydʿ),information
חשיבות(ḥšyvwt),importance
באתר(vʾtr),On the site
ואני(wʾny),And i
העיר(hʿyr),The city
חיים(ḥyym),life
חדש(ḥdš),new
בנושא(vnwšʾ),On the subject
יודע(ywdʿ),knowing
אותי(ʾwty),me
אי(ʾy),non
להם(lhm),them
עליו(ʿlyw),On him
תמיד(tmyd),always
בבית(vvyt),At home
כ(k),about
שום(šwm),garlic
מדובר(mdwvr),spoken
המשפט(hmšpṭ),Trial
בישראל(vyšrʾl),In Israel
דברים(dvrym),stuff
ההצעה(hhṣʿh),The proposal
פי(py),times
שלה(šlh),its
נגד(ngd),against
מן(mn),from
לראות(lrʾwt),see
אפילו(ʾpylw),even
בני(vny),Sons
כאשר(kʾšr),when
מדי(mdy),every
איזה(ʾyzh),what
ר(r),R
עצמו(ʿṣmw),himself
גדול(gdwl),large
באמת(vʾmt),really
שתי(šty),warp
מבחינה(mvḥynh),A way out
חדשים(ḥdšym),New
בדיוק(vdywq),exactly
נכון(nkwn),right
שאין(šʾyn),That is not
ממש(mmš),really
כלל(kll),rule
הייתי(hyyty),I was
במהלך(vmhlk),during
דף(dp),page
רב(rv),multi
שהיא(šhyʾ),Which is
הזו(hzw),This
קשה(qšh),difficult
בלבד(vlvd),only
השיחה(hšyḥh),The conversation
הרב(hrv),The rabbi
שאתה(šʾth),You
י(y),Y
צ(ṣ),T.
למשל(lmšl),for example
הראשונה(hrʾšwnh),First
אינה(ʾynh),Not
כמובן(kmwvn),of course
מספיק(mspyq),enough
כפי(kpy),as
בעולם(vʿwlm),In the world
כיום(kywm),currently
תבנית(tvnyt),pattern
בכלל(vkll),at all
ואז(wʾz),Then
מכן(mkn),Then
אגב(ʾgv),incidentally
רבות(rvwt),Many
מישהו(myšhw),someone
המדינה(hmdynh),The state
נוסף(nwsp),additional
בנוסף(vnwsp),In addition
המשחק(hmšḥq),The game
אתר(ʾtr),site
תוכל(twkl),You can
שלהם(šlhm),their
ו(w),and
שלנו(šlnw),our
כמעט(kmʿṭ),almost
נמחק(nmḥq),Deleted
א(ʾ),A
תמונות(tmwnwt),Photos
כדאי(kdʾy),worthwhile
ספר(spr),book
הערכים(hʿrkym),The values
צורך(ṣwrk),need
מקרה(mqrh),case
מדוע(mdwʿ),why
חסר(ḥsr),short
ברור(vrwr),clear
ראש(rʾš),head
שלום(šlwm),peace
שהם(šhm),They are
בהם(vhm),In them
הכי(hky),most
התמונה(htmwnh),The picture
הזמן(hzmn),Time
השני(hšny),The other
בשם(všm),fragrance
לב(lv),heart
והוא(whwʾ),And he
במקרה(vmqrh),In case
למרות(lmrwt),despite
לקבל(lqvl),get
הכל(hkl),everything
מ(m),from
מבחינת(mvḥynt),In terms of
זהו(zhw),this is
שימוש(šymwš),Use
הרי(hry),After all
בדרך(vdrk),through
אשר(ʾšr),which
רוב(rwv),majority
בעיר(vʿyr),In the city
ילדים(yldym),children
רואה(rwʾh),seer
ד(d),D
אמר(ʾmr),saying
ראה(rʾh),See
התכוונתם(htkwwntm),You meant
מאז(mʾz),since
מבחינתי(mvḥynty),For me
מעט(mʿṭ),few
נוספים(nwspym),Additional
מהם(mhm),Them
ולכן(wlkn),Therefore
בארץ(vʾrṣ),In the country
צריכה(ṣrykh),consumption
בסדר(vsdr),okay
אומר(ʾwmr),Say
אולם(ʾwlm),hall
אכן(ʾkn),indeed
משחק(mšḥq),play
נמצא(nmṣʾ),available
די(dy),The
שונים(šwnym),various
בגלל(vgll),because of
שהיה(šhyh),That was
הזאת(hzʾt),this
אשמח(ʾšmḥ),I would love
האלה(hʾlh),The goddess
עדיף(ʿdyp),preferable
לתת(ltt),give
דיון(dywn),discussion
באותה(vʾwth),The same
כאלה(kʾlh),Such
עבור(ʿvwr),for
ועוד(wʿwd),And more
שצריך(šṣryk),Needed
לפחות(lpḥwt),at least
בתוך(vtwk),within
באמצעות(vʾmṣʿwt),through
השם(hšm),The name
ח(ḥ),H
פרק(prq),chapter
בעיקר(vʿyqr),Mainly
חייב(ḥyyv),Must
מזה(mzh),That
האתר(hʾtr),The site
במיוחד(vmywḥd),especially
קיים(qyym),Exists
חברי(ḥvry),My friends
אביב(ʾvyv),spring
להשתמש(lhštmš),use
המשפחה(hmšpḥh),Family
חופשי(ḥwpšy),free
מכל(mkl),tank
בסוף(vswp),in the end
מציע(mṣyʿ),Offers
תמונה(tmwnh),image
אתם(ʾtm),you
מערכת(mʿrkt),system
השנייה(hšnyyh),The other
בצורה(vṣwrh),In a form
כתוב(ktwv),written
בזמן(vzmn),While
שינוי(šynwy),Change
מתוך(mtwk),of
חשובים(ḥšwvym),Are important
עוסק(ʿwsq),practitioner
לשם(lšm),opal
דווקא(dwwqʾ),Precisely
היתה(hyth),Had
בכך(vkk),thereby
כרגע(krgʿ),Currently
עבודה(ʿvwdh),work
למעשה(lmʿšh),actually
העברית(hʿvryt),Hebrew
ניוטון(nywṭwn),Newton
ימים(ymym),Days
יכולה(ykwlh),Can
מקור(mqwr),source
גדולה(gdwlh),greatness
בויקיפדיה(vwyqypdyh),Wikipedia
חבל(ḥvl),rope
שיחה(šyḥh),call
כנראה(knrʾh),probably
קודם(qwdm),previous
ארצות(ʾrṣwt),Countries
זכויות(zkwywt),Rights
כולם(kwlm),everybody
וזה(wzh),And it
לזה(lzh),That
במשך(vmšk),during
איש(ʾyš),man
המידע(hmydʿ),The information
המלחמה(hmlḥmh),The war
שבו(švw),Where
הכנסת(hknst),The introduction
שונות(šwnwt),variance
לדעת(ldʿt),know
נוספת(nwspt),Another
תחת(tḥt),under
תודה(twdh),thanks
בעל(vʿl),husband
יחד(yḥd),together
בעקבות(vʿqvwt),after
מול(mwl),opposite
הדף(hdp),blast
ש(š),that
מבין(mvyn),Understand
הדבר(hdvr),The thing
ראיתי(rʾyty),I have seen
שלושה(šlwšh),three
ואת(wʾt),And
מלחמת(mlḥmt),A war
בעיה(vʿyh),problem
אחרות(ʾḥrwt),Others
ועל(wʿl),And on
וחצי(wḥṣy),Half
בקרב(vqrv),among
חוק(ḥwq),law
אינם(ʾynm),Are not
העבודה(hʿvwdh),Work
מאד(mʾd),Very
משפחה(mšpḥh),family
שלוש(šlwš),three
ראוי(rʾwy),worthy
הממשלה(hmmšlh),The government
הבית(hvyt),The house
סתם(stm),mere
דומה(dwmh),like
אופן(ʾwpn),Way of
החל(hḥl),Apply
התבנית(htvnyt),The pattern
מחדש(mḥdš),re
בשביל(všvyl),for
טובה(ṭwvh),favor
הדברים(hdvrym),Things
להגיע(lhgyʿ),reach
מצד(mṣd),pillbox
בעלי(vʿly),My husband
ויש(wyš),And there is
עושה(ʿwšh),Makes
חומר(ḥwmr),material
בשנת(všnt),In the year
הגדול(hgdwl),The biggest
הארץ(hʾrṣ),The land
בוויקיפדיה(vwwyqypdyh),In Wikipedia
ואם(wʾm),And if
אצל(ʾṣl),in
אנא(ʾnʾ),please
תוך(twk),within
ככה(kkh),so
קשר(qšr),link
כתב(ktv),writing
זכה(zkh),Won
לבין(lvyn),And to
סיבה(syvh),Cause
רבה(rvh),Great
הבעיה(hvʿyh),The problem
כולל(kwll),including
חייבים(ḥyyvym),Must
באנגלית(vʾnglyt),In English
בראש(vrʾš),In the head
אליו(ʾlyw),To him
בעברית(vʿvryt),In Hebrew
נולד(nwld),born
קישור(qyšwr),Link
החברה(hḥvrh),The company
בלתי(vlty),non
סוף(swp),end
לשנות(lšnwt),change
משנה(mšnh),sub
חוץ(ḥwṣ),outside
עניין(ʿnyyn),Interest
שאפשר(šʾpšr),That can
פירושונים(pyrwšwnym),Commentaries
חייו(ḥyyw),His life
לקרוא(lqrwʾ),read
לחלוטין(lḥlwṭyn),completely
ממנו(mmnw),from him
ביום(vywm),On the day
האדם(hʾdm),Man
צבא(ṣvʾ),army
בעבר(vʿvr),In the past
צריכים(ṣrykym),Need
חבר(ḥvr),friend
הדיון(hdywn),The discussion
החיים(hḥyym),Life
ככל(kkl),As far as
חדשות(ḥdšwt),news
קטן(qṭn),small
ע(ʿ),From
כללי(klly),general
בטוח(vṭwḥ),insurance
חצי(ḥṣy),half
קצר(qṣr),short
משפט(mšpṭ),sentence
לאחרונה(lʾḥrwnh),recently
מעבר(mʿvr),transition
ז(z),G
אותן(ʾwtn),them
יהודים(yhwdym),Jews
בתחום(vtḥwm),within
תהיה(thyh),Will
שכל(škl),mind
שמו(šmw),His name
פרטים(prṭym),Details
האחרון(hʾḥrwn),Last
השנים(hšnym),The years
בבקשה(vvqšh),please
השאלה(hšʾlh),The question
ליצור(lyṣwr),create
יצא(yṣʾ),Out
שמות(šmwt),Names
הגיע(hgyʿ),Has arrived
ואין(wʾyn),And there is no
יכולים(ykwlym),Can
פעמים(pʿmym),Times
מנת(mnt),portion
תשובה(tšwvh),answer
דוד(dwd),uncle
חשבתי(ḥšvty),I thought
משתמש(mštmš),user
להביא(lhvyʾ),bring
נוספות(nwspwt),More
חוסר(ḥwsr),lack
בשל(všl),mature
אנו(ʾnw),we
אבא(ʾvʾ),father
אנשי(ʾnšy),People
התמונות(htmwnwt),The pictures
בעוד(vʿwd),while
באותו(vʾwtw),The same
משרד(mšrd),office
הבריאות(hvryʾwt),The health
תחילת(tḥylt),The beginning
בסיס(vsys),base
נושא(nwšʾ),carrier
חושבים(ḥwšvym),Think
המקום(hmqwm),Place
לאור(lʾwr),in light of
איפה(ʾyph),where
לבית(lvyt),nee
הדרך(hdrk),The way
להבין(lhvyn),understand
מעולם(mʿwlm),Never
כלומר(klwmr),i.e
הצבעה(hṣvʿh),voting
לדבר(ldvr),talk
במסגרת(vmsgrt),within
הבנתי(hvnty),I understood
וכן(wkn),also
שגם(šgm),Also
אמא(ʾmʾ),mother
עבר(ʿvr),past
עליהם(ʿlyhm),On them
שונה(šwnh),different
שכן(škn),neighbor
פתח(ptḥ),opening
השנה(hšnh),This year
הנוכחי(hnwkḥy),The present
לפעמים(lpʿmym),sometimes
לכם(lkm),to you
מאוחר(mʾwḥr),late
חד(ḥd),sharp
חוקי(ḥwqy),legal
הבחירות(hvḥyrwt),The elections
מעל(mʿl),above
בעניין(vʿnyyn),On the matter
יהודה(yhwdh),Judas
צבאי(ṣvʾy),military
אותך(ʾwtk),you
האנגלית(hʾnglyt),English
עלי(ʿly),pestle
בת(vt),daughter
נעשה(nʿšh),done
הילדים(hyldym),The kids
הנושא(hnwšʾ),The subject
לפתוח(lptwḥ),open
תל(tl),Tel
בהמשך(vhmšk),Later
שדה(šdh),field
חודשים(ḥwdšym),Months
רוצים(rwṣym),Want
הללו(hllw),these
יהודי(yhwdy),Jewish
המצב(hmṣv),The situation
בהחלט(vhḥlṭ),definitely
ומה(wmh),And what
עליה(ʿlyh),rise
חודש(ḥwdš),month
כזו(kzw),Such
כוח(kwḥ),power
ידוע(ydwʿ),known
יונה(ywnh),pigeon
מקווה(mqwwh),Hope
כעת(kʿt),Now
יוצרים(ywṣrym),Creators
שיהיה(šyhyh),Be
חי(ḥy),live
והיא(whyʾ),And she
בעת(vʿt),phobia
מנסה(mnsh),Trying to
בתי(vty),My houses
מקורות(mqwrwt),Sources
הרשמי(hršmy),The official
מאשר(mʾšr),than
הקהילה(hqhylh),The community
הקבוצה(hqvwṣh),The group
הסרט(hsrṭ),The movie
מקובל(mqwvl),accepted
בירושלים(vyrwšlym),In Jerusalem
משום(mšwm),Because
שהערך(šhʿrk),That the value
ירושלים(yrwšlym),Jerusalem
הישראלי(hyšrʾly),Israeli
יורק(ywrq),York
קצרמר(qṣrmr),Short
להמשיך(lhmšyk),continue
כיצד(kyṣd),how
מומחה(mwmḥh),expert
יצחק(yṣḥq),Isaac
מחיקה(mḥyqh),Deletion
כאילו(kʾylw),As if
צה(ṣh),Latter
בזה(vzh),plunder
יהיו(yhyw),Will
אינני(ʾynny),I am not
צעד(ṣʿd),step
תחום(tḥwm),domain
הגיעו(hgyʿw),Have arrived
מומלץ(mwmlṣ),recommended
לציין(lṣyyn),Indicate
אביו(ʾvyw),His father
רחוב(rḥwv),street
השימוש(hšymwš),Use
נשים(nšym),women
משפחתו(mšpḥtw),His family
בהתאם(vhtʾm),respectively
באזור(vʾzwr),In the area
המלך(hmlk),The king
שנות(šnwt),Years
ראשון(rʾšwn),first
בתקופה(vtqwph),In the period
לאורך(lʾwrk),along
בפני(vpny),In front of
היהודים(hyhwdym),The Jews
חדשה(ḥdšh),New
חובה(ḥwvh),duty
ליד(lyd),near
אלף(ʾlp),thousand
מבקש(mvqš),Asking for
לעומת(lʿwmt),compared to
לוקה(lwqh),Luca
יפה(yph),beautiful
וכו(wkw),etc
יפן(ypn),Japan
בעד(vʿd),for
מופיע(mwpyʿ),Appears
בינתיים(vyntyym),In the meantime
אמרה(ʾmrh),saying
להעביר(lhʿvyr),transfer
הדין(hdyn),Law
כה(kh),so
כותב(kwtv),writer
להכניס(lhknys),put in
עיר(ʿyr),city
המשתמש(hmštmš),User
לגמרי(lgmry),completely
לומר(lwmr),say
ואף(wʾp),And even
לעתים(lʿtym),sometimes
קיימת(qyymt),Exists
במשחק(vmšḥq),In a game
קינג(qyng),King
למד(lmd),Learned
הראשי(hrʾšy),The main
מוזמן(mwzmn),Welcome
לתקן(ltqn),repair
עריכה(ʿrykh),editing
עושים(ʿwšym),Do
תקופה(tqwph),period
קל(ql),easy
החוק(hḥwq),Law
משתמשים(mštmšym),Users
בידי(vydy),In my hand
ארץ(ʾrṣ),country
למשמעות(lmšmʿwt),For meaning
הצבא(hṣvʾ),The army
מצב(mṣv),situation
הסיפור(hsypwr),The story
להרחיב(lhrḥyv),expand
מורחב(mwrḥv),expanded
פעולה(pʿwlh),action
שהיו(šhyw),That were
אפשרות(ʾpšrwt),possibility
עומד(ʿwmd),standing
עובד(ʿwvd),worker
עצמה(ʿṣmh),herself
חיל(ḥyl),force
לבדוק(lvdwq),check
אור(ʾwr),light
הצעת(hṣʿt),A suggestion
הצבאי(hṣvʾy),The military
בחסר(vḥsr),In missing
שבה(švh),Where
וכך(wkk),And so
שאלה(šʾlh),question
מיד(myd),immediately
העיצוב(hʿyṣwv),The design
דקות(dqwt),subtlety
האחרונות(hʾḥrwnwt),The last
הקישור(hqyšwr),The link
חשובה(ḥšwvh),Important
במצב(vmṣv),In a position
בשנים(všnym),In the years
הסבר(hsvr),explanation
בנו(vnw),His son
לשים(lšym),put
מתאים(mtʾym),appropriate
להשאיר(lhšʾyr),leave
ס(s),S
להעלות(lhʿlwt),raise
שכתוב(šktwv),rewriting
בשלב(všlv),In a stage
בי(vy),in me
אלי(ʾly),Me
למקום(lmqwm),Place
הציבור(hṣyvwr),The public
דין(dyn),law
מרכז(mrkz),coordinator
במספר(vmspr),In number
לערוך(lʿrwk),edit
ידע(ydʿ),knowledge
רווח(rwwḥ),spacious
הנ(hn),The man
ארבעה(ʾrvʿh),four
שאנחנו(šʾnḥnw),That we
בתור(vtwr),as a
חוזר(ḥwzr),circular
בארצות(vʾrṣwt),In the countries
החדש(hḥdš),The new
לרוב(lrwv),mostly
ממנה(mmnh),from her
לבצע(lvṣʿ),perform
יודעים(ywdʿym),Know
חיצוני(ḥyṣwny),external
מדינת(mdynt),State
קיימים(qyymym),Exist
יד(yd),hand
מעניין(mʿnyyn),Interesting
ילד(yld),child
אנציקלופדיה(ʾnṣyqlwpdyh),encyclopedia
ויקיפדים(wyqypdym),Wikiped
ועד(wʿd),committee
טעם(ṭʿm),taste
חינוך(ḥynwk),Education
כלי(kly),tool
שאי(šʾy),Asking
מדיניות(mdynywt),policy
המספרים(hmsprym),The numbers
עיצוב(ʿyṣwv),Design
האטום(hʾṭwm),The atom
וכל(wkl),And all
אמור(ʾmwr),supposed
לשלוח(lšlwḥ),send
לעזור(lʿzwr),help
חברת(ḥvrt),Company
לשמוע(lšmwʿ),hear
ההיסטוריה(hhysṭwryh),History
הפורנוגרפיה(hpwrnwgrpyh),Pornography
האחרונה(hʾḥrwnh),The last
איזו(ʾyzw),Which
הפך(hpk),opposite
מושג(mwšg),idea
דוגמאות(dwgmʾwt),Examples
נקרא(nqrʾ),called
לעבוד(lʿvwd),work
אוכל(ʾwkl),eater
סוג(swg),type
מתי(mty),when
בתחילת(vtḥylt),At the beginning
הגדולה(hgdwlh),The Great
לצד(lṣd),Beside
באוניברסיטת(vʾwnyvrsyṭt),At the University
הטקסט(hṭqsṭ),The text
להסביר(lhsvyr),explain
מכיוון(mkywwn),Because
מייל(myyl),Mile
מכיר(mkyr),Know
העניין(hʿnyyn),Interest
ספק(spq),supplier
הים(hym),The sea
מיליון(mylywn),million
נמצאת(nmṣʾt),Is
בספר(vspr),In the book
בעיני(vʿyny),To me
ההצבעה(hhṣvʿh),Voting
ורק(wrq),And only
שעות(šʿwt),Hours
עקב(ʿqv),heel
מדינות(mdynwt),Countries
הישראלית(hyšrʾlyt),Israeli
בערכים(vʿrkym),In values
עשה(ʿšh),Made
ימי(ymy),maritime
עשרות(ʿšrwt),Tens
קיבל(qyvl),Received
לערכים(lʿrkym),To values
מסכים(mskym),Agree
סיפור(sypwr),A story
ארוך(ʾrwk),long
בדיקות(vdyqwt),Tests
בתבנית(vtvnyt),In a pattern
להגיד(lhgyd),say
להציג(lhṣyg),display
ערב(ʿrv),evening
שכתבת(šktvt),Wrote
מלא(mlʾ),full
שניתן(šnytn),Granted
פני(pny),penny
מדבר(mdvr),desert
היטב(hyṭv),well
גרמניה(grmnyh),Germany
היחיד(hyḥyd),The only one
לדעתך(ldʿtk),In your opinion
בתקופת(vtqwpt),During the period
במלחמת(vmlḥmt),In a war
מחוץ(mḥwṣ),Outside
היסטוריה(hysṭwryh),history
אומרת(ʾwmrt),Says
מדינה(mdynh),state
מהירה(mhyrh),Fast
במרכז(vmrkz),At the center
משמעות(mšmʿwt),meaning
בבחירות(vvḥyrwt),In the election
חזרה(ḥzrh),return
ברוב(vrwv),In most
לישראל(lyšrʾl),To Israel
קטנה(qṭnh),Small
ספרים(sprym),Books
השבוע(hšvwʿ),This week
והם(whm),And they
צבאית(ṣvʾyt),Military
המאה(hmʾh),The century
בתמונה(vtmwnh),In the picture
ייתכן(yytkn),May
זכות(zkwt),right
הבקשה(hvqšh),The request
מלחמה(mlḥmh),war
חסרי(ḥsry),Lackless
לאחרים(lʾḥrym),To others
מהערך(mhʿrk),From the value
כלשהו(klšhw),any
כלום(klwm),nothing
הקשר(hqšr),connection
לבן(lvn),white
דוגמה(dwgmh),example
תשומת(tšwmt),Attention
חסרים(ḥsrym),Missing
שכבר(škvr),Already
לפנות(lpnwt),evacuate
גדולים(gdwlym),Large
חברים(ḥvrym),Friends
סביב(svyv),around
אמנם(ʾmnm),indeed
חברות(ḥvrwt),membership
מאות(mʾwt),Hundreds
אלפי(ʾlpy),Thousands
ברחבי(vrḥvy),Around
מסוים(mswym),certain
ערכי(ʿrky),Values
לצורך(lṣwrk),For the purpose
האי(hʾy),The island
נבחרת(nvḥrt),team
החדשה(hḥdšh),The new
מראש(mrʾš),in advance
יוצא(ywṣʾ),outgoing
טובים(ṭwvym),Good
מכך(mkk),This
משפחת(mšpḥt),Family
בימים(vymym),In the days
היהודי(hyhwdy),The Jew
יוסף(ywsp),Joseph
ורג(wrg),Vagan
חברה(ḥvrh),company
בדיקה(vdyqh),examination
דעת(dʿt),knowledge
לחפש(lḥpš),search
למעלה(lmʿlh),up
שמאל(šmʾl),left
במקרים(vmqrym),In cases
ניו(nyw),New
החולים(hḥwlym),The patients
המילה(hmylh),The word
כגון(kgwn),such as
לאתר(lʾtr),locate
מצדה(mṣdh),For its part
חמישה(ḥmyšh),five
לעולם(lʿwlm),forever
גבוהה(gvwhh),Tall
עצמי(ʿṣmy),myself
שבוע(švwʿ),week
להשיג(lhšyg),achieve
מותר(mwtr),permitted
הילד(hyld),The boy
נחשב(nḥšv),Considered
באירופה(vʾyrwph),In Europe
אישור(ʾyšwr),OK
הנשיא(hnšyʾ),President
ביקורת(vyqwrt),Criticism
יחסית(yḥsyt),relatively
נרחב(nrḥv),extensive
גילגמש(gylgmš),Gilgamesh
שאינו(šʾynw),Not
הבא(hvʾ),next
ללמוד(llmwd),learn
שינויים(šynwyym),Changes
כיוון(kywwn),A direction
האוויר(hʾwwyr),The air
לעבור(lʿvwr),pass
לחץ(lḥṣ),pressure
דעתך(dʿtk),Your mind
מניח(mnyḥ),Place
ביחד(vyḥd),together
בניגוד(vnygwd),In contrast
מפקד(mpqd),commander
פנים(pnym),face
בעצם(vʿṣm),actually
בא(vʾ),Come
ביניהם(vynyhm),Between them
מפני(mpny),because
להוריד(lhwryd),Download
יוכל(ywkl),Can
שזו(šzw),That is
לאחד(lʾḥd),To one
האמת(hʾmt),The truth
בשימוש(všymwš),Used
שגיאות(šgyʾwt),Error
הוספת(hwspt),Adding
ארבע(ʾrvʿ),four
ואולי(wʾwly),And maybe
שבהם(švhm),In them
גורם(gwrm),factor
נכתב(nktv),Written
אסור(ʾswr),forbidden
השלישי(hšlyšy),The third
חופש(ḥwpš),freedom
המועצות(hmwʿṣwt),The council
כתבתי(ktvty),I wrote
הערות(hʿrwt),Notes
ללכת(llkt),go
אותנו(ʾwtnw),us
אליה(ʾlyh),To her
כנגד(kngd),against
סדר(sdr),order
שר(šr),minister
סביר(svyr),reasonable
שמדובר(šmdwvr),Which is
חמש(ḥmš),five
פגיעה(pgyʿh),injury
מצאתי(mṣʾty),I found
תמחק(tmḥq),Will delete
בטח(vṭḥ),sure
הסיבה(hsyvh),The reason
בהן(vhn),In them
ת(t),Pitch
בר(vr),bar
הלאומי(hlʾwmy),Nationalism
האנשים(hʾnšym),The people
ראשי(rʾšy),main
בסופו(vswpw),At the end
שעה(šʿh),time
צודק(ṣwdq),right
הפעם(hpʿm),This time
האלבום(hʾlvwm),The album
נא(nʾ),please
נשמע(nšmʿ),audible
מים(mym),water
כולו(kwlw),The whole
הודעה(hwdʿh),message
לשאול(lšʾwl),ask
אנסה(ʾnsh),I will try
שאר(šʾr),rest
ישנם(yšnm),there are
הצליח(hṣlyḥ),Succeeded
הראשונים(hrʾšwnym),The first
דמויות(dmwywt),Characters
הוספתי(hwspty),I added
רשימת(ršymt),List
מסוימת(mswymt),A particular
כסף(ksp),money
שירות(šyrwt),Service
מגיע(mgyʿ),Comes
לראשונה(lrʾšwnh),first
רגע(rgʿ),moment
שבועיים(švwʿyym),Two weeks
זוהי(zwhy),This is
כאלו(kʾlw),Such
המפלגה(hmplgh),The party
מקצוע(mqṣwʿ),profession
צרפת(ṣrpt),France
במקביל(vmqvyl),in parallel
לצאת(lṣʾt),go
קרוב(qrwv),close
עולה(ʿwlh),rising
תנאי(tnʾy),condition
לארץ(lʾrṣ),To the country
זכתה(zkth),Won
כלפי(klpy),towards
מותו(mwtw),His death
במידה(vmydh),To an extent
פרטי(prṭy),private
מלבד(mlvd),only
טיפול(ṭypwl),Treatment
באינטרנט(vʾynṭrnṭ),Online
במהירות(vmhyrwt),quickly
לשימוש(lšymwš),For use
החינוך(hḥynwk),Education
רמת(rmt),Level
כוחות(kwḥwt),Forces
כאמור(kʾmwr),as aforesaid
שאינם(šʾynm),Non -
כתוצאה(ktwṣʾh),As a result of
אילו(ʾylw),which
לכאן(lkʾn),Here
נהוג(nhwg),driven
אישי(ʾyšy),personal
רעיון(rʿywn),idea
בעיות(vʿywt),Problems
למנוע(lmnwʿ),prevent
תפקיד(tpqyd),role
נשיא(nšyʾ),president
ק(q),K
תוכן(twkn),content
בקשה(vqšh),request
רשות(ršwt),permission
הצלחתי(hṣlḥty),I have succeeded
פורטל(pwrṭl),Portal
איתי(ʾyty),with me
ממני(mmny),from me
היתר(hytr),Permit
היהודית(hyhwdyt),Jewish
חשבון(ḥšvwn),invoice
יצאו(yṣʾw),Out
מהווה(mhwwh),Constituting
היחידה(hyḥydh),The unit
והן(whn),And they
הפסקה(hpsqh),break
פשוטה(pšwṭh),Simple
לוויקיפדיה(lwwyqypdyh),To Wikipedia
הלב(hlv),The heart
לשמור(lšmwr),reserve
משחקי(mšḥqy),Games
גבוה(gvwh),high
כזאת(kzʾt),Like that
משם(mšm),Away
נמצאים(nmṣʾym),Are found
עולם(ʿwlm),world
חלקם(ḥlqm),Some
יתר(ytr),more
