hebrew,count,english_translation
משפט,178,sentence
לאחרונה,177,recently
מעבר,177,transition
ז,177,G
אותן,176,them
יהודים,176,Jews
בתחום,175,within
תהיה,175,Will
שכל,174,mind
שמו,174,His name
פרטים,174,Details
האחרון,173,Last
השנים,173,The years
בבקשה,172,please
השאלה,172,The question
ליצור,171,create
יצא,170,Out
שמות,170,Names
הגיע,170,Has arrived
ואין,169,And there is no
יכולים,169,Can
פעמים,169,Times
מנת,168,portion
תשובה,168,answer
דוד,168,uncle
חשבתי,167,I thought
משתמש,166,user
להביא,166,bring
נוספות,166,More
חוסר,165,lack
בשל,165,mature
אנו,165,we
אבא,164,father
אנשי,164,People
התמונות,163,The pictures
בעוד,162,while
באותו,162,The same
משרד,162,office
הבריאות,162,The health
תחילת,162,The beginning
בסיס,161,base
נושא,161,carrier
חושבים,161,Think
המקום,160,Place
לאור,159,in light of
איפה,159,where
לבית,158,nee
הדרך,158,The way
להבין,158,understand
מעולם,158,Never
כלומר,158,i.e
הצבעה,157,voting
לדבר,156,talk
במסגרת,156,within
הבנתי,155,I understood
וכן,155,also
שגם,154,Also
אמא,154,mother
עבר,154,past
עליהם,154,On them
שונה,154,different
שכן,154,neighbor
פתח,154,opening
השנה,153,This year
הנוכחי,153,The present
לפעמים,152,sometimes
לכם,152,to you
מאוחר,152,late
חד,152,sharp
חוקי,152,legal
הבחירות,152,The elections
מעל,151,above
בעניין,151,On the matter
יהודה,151,Judas
צבאי,151,military
אותך,151,you
האנגלית,151,English
עלי,151,pestle
בת,150,daughter
נעשה,150,done
הילדים,150,The kids
הנושא,150,The subject
לפתוח,150,open
תל,150,Tel
בהמשך,150,Later
שדה,150,field
חודשים,149,Months
רוצים,148,Want
הללו,148,these
יהודי,148,Jewish
המצב,147,The situation
בהחלט,147,definitely
ומה,146,And what
עליה,146,rise
חודש,146,month
כזו,146,Such
כוח,146,power
ידוע,146,known
יונה,146,pigeon
מקווה,145,Hope
כעת,145,Now
יוצרים,145,Creators
שיהיה,145,Be
חי,144,live
והיא,144,And she
בעת,144,phobia
מנסה,143,Trying to
בתי,143,My houses
מקורות,143,Sources
הרשמי,143,The official
מאשר,143,than
הקהילה,143,The community
הקבוצה,142,The group
הסרט,142,The movie
מקובל,141,accepted
בירושלים,141,In Jerusalem
משום,141,Because
שהערך,141,That the value
ירושלים,140,Jerusalem
הישראלי,140,Israeli
יורק,140,York
קצרמר,140,Short
להמשיך,139,continue
כיצד,139,how
מומחה,139,expert
יצחק,139,Isaac
מחיקה,139,Deletion
כאילו,138,As if
צה,138,Latter
בזה,137,plunder
יהיו,137,Will
אינני,137,I am not
צעד,137,step
תחום,137,domain
הגיעו,136,Have arrived
מומלץ,136,recommended
לציין,136,Indicate
אביו,136,His father
רחוב,136,street
השימוש,135,Use
נשים,135,women
משפחתו,135,His family
בהתאם,135,respectively
באזור,134,In the area
המלך,134,The king
שנות,134,Years
ראשון,134,first
בתקופה,134,In the period
לאורך,134,along
בפני,134,In front of
היהודים,134,The Jews
חדשה,134,New
חובה,134,duty
ליד,133,near
אלף,133,thousand
מבקש,133,Asking for
לעומת,133,compared to
לוקה,133,Luca
יפה,132,beautiful
וכו,132,etc
יפן,132,Japan
בעד,132,for
מופיע,132,Appears
בינתיים,131,In the meantime
אמרה,131,saying
להעביר,131,transfer
הדין,131,Law
כה,131,so
כותב,131,writer
להכניס,131,put in
עיר,131,city
המשתמש,131,User
לגמרי,130,completely
לומר,130,say
ואף,130,And even
לעתים,130,sometimes
קיימת,130,Exists
במשחק,130,In a game
קינג,130,King
למד,130,Learned
הראשי,129,The main
מוזמן,129,Welcome
לתקן,129,repair
עריכה,129,editing
עושים,128,Do
תקופה,128,period
קל,128,easy
החוק,128,Law
משתמשים,128,Users
בידי,128,In my hand
ארץ,128,country
למשמעות,128,For meaning
הצבא,127,The army
מצב,127,situation
הסיפור,127,The story
להרחיב,127,expand
מורחב,127,expanded
פעולה,126,action
שהיו,126,That were
אפשרות,126,possibility
עומד,126,standing
עובד,126,worker
עצמה,125,herself
חיל,125,force
לבדוק,125,check
אור,125,light
הצעת,125,A suggestion
הצבאי,125,The military
בחסר,125,In missing
שבה,124,Where
וכך,124,And so
שאלה,124,question
מיד,124,immediately
העיצוב,124,The design
דקות,123,subtlety
האחרונות,123,The last
הקישור,123,The link
חשובה,122,Important
במצב,122,In a position
בשנים,122,In the years
הסבר,122,explanation
בנו,122,His son
לשים,121,put
מתאים,121,appropriate
להשאיר,121,leave
ס,121,S
להעלות,121,raise
שכתוב,121,rewriting
בשלב,120,In a stage
בי,120,in me
אלי,120,Me
למקום,120,Place
הציבור,120,The public
דין,120,law
מרכז,120,coordinator
במספר,120,In number
לערוך,120,edit
ידע,120,knowledge
רווח,120,spacious
הנ,120,The man
ארבעה,119,four
שאנחנו,119,That we
בתור,119,as a
חוזר,119,circular
בארצות,119,In the countries
החדש,119,The new
לרוב,118,mostly
ממנה,118,from her
לבצע,118,perform
יודעים,118,Know
חיצוני,118,external
מדינת,117,State
קיימים,117,Exist
יד,117,hand
מעניין,117,Interesting
ילד,117,child
אנציקלופדיה,117,encyclopedia
ויקיפדים,117,Wikiped
ועד,116,committee
טעם,116,taste
חינוך,116,Education
כלי,116,tool
שאי,116,Asking
מדיניות,116,policy
המספרים,116,The numbers
עיצוב,116,Design
האטום,116,The atom
וכל,115,And all
אמור,115,supposed
לשלוח,115,send
לעזור,115,help
חברת,115,Company
לשמוע,115,hear
ההיסטוריה,115,History
הפורנוגרפיה,115,Pornography
האחרונה,114,The last
איזו,114,Which
הפך,114,opposite
מושג,114,idea
דוגמאות,114,Examples
נקרא,114,called
לעבוד,114,work
אוכל,113,eater
סוג,113,type
מתי,113,when
בתחילת,113,At the beginning
הגדולה,113,The Great
לצד,113,Beside
באוניברסיטת,113,At the University
הטקסט,113,The text
להסביר,113,explain
מכיוון,113,Because
מייל,113,Mile
מכיר,112,Know
העניין,112,Interest
ספק,112,supplier
הים,112,The sea
מיליון,112,million
נמצאת,112,Is
בספר,112,In the book
בעיני,112,To me
ההצבעה,112,Voting
ורק,111,And only
שעות,111,Hours
עקב,111,heel
מדינות,111,Countries
הישראלית,111,Israeli
בערכים,111,In values
עשה,110,Made
ימי,110,maritime
עשרות,110,Tens
קיבל,110,Received
לערכים,110,To values
מסכים,110,Agree
סיפור,109,A story
ארוך,109,long
בדיקות,109,Tests
בתבנית,109,In a pattern
להגיד,109,say
להציג,109,display
ערב,109,evening
שכתבת,109,Wrote
מלא,108,full
שניתן,108,Granted
פני,108,penny
מדבר,108,desert
היטב,108,well
גרמניה,108,Germany
היחיד,108,The only one
לדעתך,108,In your opinion
בתקופת,108,During the period
במלחמת,108,In a war
מחוץ,107,Outside
היסטוריה,107,history
אומרת,107,Says
מדינה,107,state
מהירה,107,Fast
במרכז,107,At the center
משמעות,107,meaning
בבחירות,107,In the election
חזרה,107,return
ברוב,107,In most
לישראל,107,To Israel
קטנה,107,Small
ספרים,106,Books
השבוע,106,This week
והם,106,And they
צבאית,106,Military
המאה,106,The century
בתמונה,106,In the picture
ייתכן,106,May
זכות,106,right
הבקשה,106,The request
מלחמה,105,war
חסרי,105,Lackless
לאחרים,105,To others
מהערך,105,From the value
כלשהו,104,any
כלום,104,nothing
הקשר,104,connection
לבן,104,white
דוגמה,104,example
תשומת,104,Attention
חסרים,104,Missing
שכבר,103,Already
לפנות,103,evacuate
גדולים,103,Large
חברים,103,Friends
סביב,103,around
אמנם,103,indeed
חברות,103,membership
מאות,103,Hundreds
אלפי,103,Thousands
ברחבי,103,Around
מסוים,103,certain
ערכי,103,Values
לצורך,103,For the purpose
האי,103,The island
נבחרת,103,team
החדשה,103,The new
מראש,102,in advance
יוצא,102,outgoing
טובים,102,Good
מכך,102,This
משפחת,102,Family
בימים,102,In the days
היהודי,102,The Jew
יוסף,102,Joseph
ורג,102,Vagan
חברה,101,company
בדיקה,101,examination
דעת,101,knowledge
לחפש,101,search
למעלה,101,up
שמאל,101,left
במקרים,101,In cases
ניו,101,New
החולים,101,The patients
המילה,101,The word
כגון,101,such as
לאתר,101,locate
מצדה,101,For its part
חמישה,100,five
לעולם,100,forever
גבוהה,100,Tall
עצמי,100,myself
שבוע,100,week
להשיג,100,achieve
מותר,100,permitted
הילד,100,The boy
נחשב,100,Considered
באירופה,100,In Europe
אישור,100,OK
הנשיא,100,President
ביקורת,100,Criticism
יחסית,100,relatively
נרחב,100,extensive
גילגמש,100,Gilgamesh
שאינו,99,Not
הבא,99,next
ללמוד,99,learn
שינויים,99,Changes
כיוון,99,A direction
האוויר,99,The air
לעבור,99,pass
לחץ,99,pressure
דעתך,99,Your mind
מניח,99,Place
ביחד,98,together
בניגוד,98,In contrast
מפקד,98,commander
פנים,98,face
בעצם,97,actually
בא,97,Come
ביניהם,97,Between them
מפני,97,because
להוריד,97,Download
יוכל,97,Can
שזו,97,That is
לאחד,97,To one
האמת,97,The truth
בשימוש,97,Used
שגיאות,97,Error
הוספת,97,Adding
ארבע,96,four
ואולי,96,And maybe
שבהם,96,In them
גורם,96,factor
נכתב,96,Written
אסור,96,forbidden
השלישי,96,The third
חופש,96,freedom
המועצות,96,The council
כתבתי,96,I wrote
הערות,96,Notes
ללכת,95,go
אותנו,95,us
אליה,95,To her
כנגד,95,against
סדר,95,order
שר,95,minister
סביר,95,reasonable
שמדובר,95,Which is
חמש,95,five
פגיעה,95,injury
מצאתי,95,I found
תמחק,95,Will delete
בטח,94,sure
הסיבה,94,The reason
בהן,94,In them
ת,94,Pitch
בר,94,bar
הלאומי,94,Nationalism
האנשים,94,The people
ראשי,94,main
בסופו,94,At the end
שעה,94,time
צודק,94,right
הפעם,94,This time
האלבום,94,The album
נא,94,please
נשמע,93,audible
מים,93,water
כולו,93,The whole
הודעה,93,message
לשאול,93,ask
אנסה,93,I will try
שאר,93,rest
ישנם,93,there are
הצליח,93,Succeeded
הראשונים,93,The first
דמויות,93,Characters
הוספתי,93,I added
רשימת,93,List
מסוימת,92,A particular
כסף,92,money
שירות,92,Service
מגיע,92,Comes
לראשונה,92,first
רגע,92,moment
שבועיים,92,Two weeks
זוהי,92,This is
כאלו,92,Such
המפלגה,92,The party
מקצוע,92,profession
צרפת,92,France
במקביל,91,in parallel
לצאת,91,go
קרוב,91,close
עולה,91,rising
תנאי,91,condition
לארץ,91,To the country
זכתה,91,Won
כלפי,91,towards
מותו,91,His death
במידה,90,To an extent
פרטי,90,private
מלבד,90,only
טיפול,90,Treatment
באינטרנט,90,Online
במהירות,90,quickly
לשימוש,90,For use
החינוך,90,Education
רמת,90,Level
כוחות,90,Forces
כאמור,90,as aforesaid
שאינם,90,Non -
כתוצאה,90,As a result of
אילו,90,which
לכאן,90,Here
נהוג,90,driven
אישי,89,personal
רעיון,89,idea
בעיות,89,Problems
למנוע,89,prevent
תפקיד,89,role
נשיא,89,president
ק,89,K
תוכן,89,content
בקשה,89,request
רשות,89,permission
הצלחתי,89,I have succeeded
פורטל,89,Portal
איתי,88,with me
ממני,88,from me
היתר,88,Permit
היהודית,88,Jewish
חשבון,88,invoice
יצאו,88,Out
מהווה,88,Constituting
היחידה,88,The unit
והן,88,And they
הפסקה,88,break
פשוטה,88,Simple
לוויקיפדיה,88,To Wikipedia
הלב,87,The heart
לשמור,87,reserve
משחקי,87,Games
גבוה,87,high
כזאת,87,Like that
משם,87,Away
נמצאים,87,Are found
עולם,87,world
חלקם,87,Some
יתר,87,more
הקורונה,87,Corona
קרב,87,battle
העליון,87,Top
גבול,87,limit
איננה,87,Not
לחזור,87,return
חוקים,87,Laws
איני,87,I do not
ימחק,87,Will delete
מתחת,86,Below
איננו,86,Is not
חלקים,86,Parts
לעניין,86,For interest
אישית,86,personally
נוכל,86,crook
עובר,86,fetus
בנוגע,86,Regarding
כחול,86,blue
במקומות,86,In places
ארגון,86,organization
סיום,86,ending
כמות,86,amount
חולים,86,Patients
דמות,86,character
מחקר,86,research
רצוי,86,desirable
השאר,86,The rest
להגיש,86,submit
התנועה,86,The movement
חלקי,86,partial
חיילים,86,Troops
הבריטי,86,British
ויקיפד,86,Wikipedia
קרה,85,cold
פרשת,85,Parsha
אפשרי,85,possible
עצמם,85,themselves
פתרון,85,solution
תגובה,85,response
הספרים,85,The books
היקום,85,The universe
שנית,85,again
חיפה,85,Haifa
לקחת,84,take
הרעיון,84,The idea
אדום,84,red
הגיעה,84,Reached
אירופה,84,Europe
החלה,84,Started
ובכל,84,And in all
יעקב,84,Jacob
עזרה,84,help
עשר,84,ten
דו,84,two
טעות,84,mistake
אבי,84,my father
בתל,84,In the Tel
בגיל,83,In the age
נתניהו,83,Netanyahu
לדיון,83,For a hearing
לילדים,83,For children
ברורה,83,Clear
שלכם,83,your
יכולת,83,ability
רקע,83,background
השיר,83,The song
חיפוש,83,Search
האור,83,The light
שכתבתי,83,Which I wrote
לדף,83,To the page
הביתה,82,Home
רואים,82,See
ושוב,82,And again
בקיצור,82,In short
קבוצת,82,Group
העובדה,82,The fact
מקבל,82,Gets
עברו,82,Past
למען,82,address
בשני,82,In the second
בשנה,82,In the year
פורסם,82,Posted
מילים,82,Words
עברה,82,passage
למשפחה,82,For family
האחרונים,82,The last
פרס,82,Persia
הלא,82,Not
תיאור,82,A description
התנגדות,82,resistance
הלהקה,82,The band
המון,81,lots of
ברגע,81,In the moment
בריאות,81,health
מיותר,81,unnecessary
למשחק,81,For a game
במדינה,81,In the country
המשיך,81,Continued
בעתיד,81,in the future
לדוגמה,81,for example
סרטים,81,Movies
האיש,81,The man
תנועת,81,A movement
העברי,81,The Hebrew
פרויקט,81,project
הסדרה,81,The series
הקטגוריה,81,The category
קורה,80,beam
סרט,80,film
חכם,80,sage
אמרתי,80,I said
הנראה,80,Seen
קבוצות,80,Groups
פתיחת,80,Opening
השחקן,80,The actor
הצדדים,80,Sides
דעתי,79,My opinion
יודעת,79,Knows
רע,79,bad
פעילות,79,activity
לנסות,79,try
הנשים,79,The women
באיזה,79,In which
האמריקאי,79,The American
דורש,79,Requires
מבנה,79,structure
עץ,79,tree
מסחרי,79,commercial
קו,79,line
חופשיות,79,freedom
תבניות,79,Templates
אבשלום,79,Absalom
שמה,78,devastation
מחר,78,tomorrow
לעיר,78,To the city
לחיות,78,live
במה,78,stage
לקבוע,78,determine
תקופת,78,Period
החליט,78,Decided
העם,78,The people
כותבים,78,Writers
האחרים,78,The others
ניסיתי,78,I have tried
הוועדה,78,Committee
המערכת,78,The system
ברית,78,alliance
ביוגרפיה,78,biography
ענתבי,78,Anati
כיפא,78,A fun
עשרה,77,ten
ארוכה,77,Long
מוצא,77,exit
הימים,77,The days
בקשר,77,In connection with
ואפילו,77,And even
בהרבה,77,Much
ראשית,77,beginning
בעזרת,77,With the help of
חייבת,77,Must
כלשהי,77,Some
לספר,77,tell
למי,77,whom
האופציה,77,The option
מאת,77,from
תרגום,77,translation
שימש,77,Served
פעיל,77,active
מספרים,76,Numbers
שנת,76,Year
ון,76,Von
הבחירה,76,The choice
טקסט,76,text
מין,76,sex
מכאן,76,hence
פרט,76,individual
שווה,76,Worth
רלוונטי,76,Relevant
במחלוקת,76,In the controversy
עליך,76,On you
אנציקלופדי,76,Encyclopedic
לבד,75,felt
החלק,75,Part
ברירה,75,choice
קבע,75,fix
מרבית,75,most
חזר,75,Returned
החלו,75,Started
גיל,75,age
מחוז,75,district
במדינת,75,In the country
יהודית,75,Jewish
מהן,75,From them
ישנה,75,Old
שטח,75,surface
קול,75,voice
ישראלי,75,Israeli
שאת,75,That you
חול,75,sand
חל,75,Applies
בפעם,74,For the time
מוסיף,74,adding
חב,74,indebted
המטרה,74,The goal
נבחר,74,selected
ביטוי,74,An expression
פעולות,74,Actions
הקרב,74,The battle
מלך,74,king
מסוג,74,A kind
כדור,74,ball
לבוא,74,come
סימוכין,74,Reference
בחוץ,73,outside
מיוחד,73,special
להישאר,73,Stay
שנתיים,73,Two years
מצליח,73,successful
הבאים,73,The following
לאנשים,73,To people
מעדיף,73,would rather
ממה,73,From what
ממשלת,73,Government
נשאר,73,remaining
היכן,73,where
הביטחון,73,Confidence
עמד,73,stood
תהליך,73,process
דם,73,blood
צוות,73,team
בפועל,73,acting
האנגלי,73,the englishman
שמחה,73,joy
המקור,73,the source
הכוונה,73,intention
הפניה,73,reference
בוט,73,bot
השירות,72,the service
חשובות,72,important
להוציא,72,spend
שאלות,72,questions
להתחיל,72,begin
אליהם,72,to them
בניית,72,construction
לפעול,72,act
בשנות,72,in the years
תשובות,72,answers
התשובה,72,the answer
בהיסטוריה,72,in history
טועה,72,wrong
לבסוף,72,finally
להן,72,them
מפעיל,72,operator
תושבי,72,residents
עצם,72,bone
הולך,72,going
מוכן,72,prepared
בדיון,72,In the discussion
המונח,72,The term
הרשימה,72,The list
אופציה,71,option
מיני,71,sexual
באה,71,Comes
הוגן,71,fair
חיי,71,My life
אצלי,71,With me
רוח,71,wind
קבלת,71,Obtain
איתו,71,With him
רציתי,71,I wanted
קטנים,71,Small
בברכה,71,Welcome
התורה,71,Torah
האינטרנט,71,The internet
שיטת,71,Method
ברשת,71,On a network
עובדים,71,Employees
בתפקיד,71,on duty
הכוח,71,The power
לעמוד,71,stand
אורי,71,Uri
עברית,71,Hebrew
ריצ,71,Jerk
הבאה,71,The next
השונים,71,The different
להסיר,71,remove
מפת,71,Map
מעמד,71,status
פנה,71,turn
תרבות,71,culture
צבעים,71,Colors
בשמחה,71,happily
הקישורים,71,The links
אמחק,71,I was erased
הטוב,70,The good
לחשוב,70,think
לצערי,70,unfortunately
מאחורי,70,Behind
נראית,70,Looks
מהר,70,fast
אינן,70,Are not
משמעותי,70,significant
תוצאות,70,Results
דרכים,70,Ways
לאחת,70,To one
כתיבה,70,writing
גרוע,70,bad
מבצע,70,operation
ט,70,ninth
תקווה,70,Hope
הינו,70,that is
למדי,70,quite
העולמית,70,The world
קורות,70,history
אברהם,70,Abraham
צבע,70,color
נמחקה,70,נמחקה
פצצת,70,Bomb
חזק,69,strong
שורה,69,line
אוהב,69,lover
בעלת,69,Owner
הצעיר,69,The young
העונה,69,The season
פתוח,69,open
רפואי,69,medical
עובדה,69,fact
בקרוב,69,soon
הזהב,69,The gold
טופס,69,form
מובן,69,sense
גדל,69,growing
שמעתי,69,I heard
היית,69,You were
קטגוריה,69,category
ויקי,69,Vicki
שנמחק,69,Deleted
חושבת,68,Thinks
אומרים,68,Say
שבת,68,Sabbath
אחוז,68,percent
מעלה,68,up
משפחות,68,Families
רישיון,68,License
נתונים,68,data
לדון,68,discuss
חסרות,68,Missing
להחזיר,68,return
בסרט,68,In a movie
זכו,68,Won
מקצועי,68,professional
מונה,68,counter
לקצץ,68,cut down
משה,68,Moses
שלם,68,whole
הקרוב,68,Upcoming
לאכול,68,eat
אודות,68,about
לשחזר,68,restore
הצבעים,68,The colors
כפר,68,village
לבחור,67,choose
חודשיים,67,Two months
לקיים,67,Sustain
מערכות,67,Systems
נתן,67,given
במערכת,67,In the system
מנהל,67,management
המחקר,67,The study
הפכה,67,revolution
קיום,67,existence
ועדת,67,Committee
שהייתה,67,That was
שמונה,67,eight
צעיר,67,young
מתכוון,67,Mean
